source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
harddrivesdirect_8269070,sillworks_17477907,harddrivesdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_16578034,tweakers_13689514,harddrivesdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
sillworks_17273976,tweakers_6207914,sillworks_tweakers,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_12957102,harddrivesdirect_13313461,usapartsdirect_harddrivesdirect,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_17115570,sillworks_6584826,usapartsdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_9962668,tweakers_7588145,usapartsdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_6750039,sillworks_17054073,harddrivesdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
harddrivesdirect_13008950,tweakers_135779,harddrivesdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
sillworks_17510523,tweakers_6232023,sillworks_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_4968342,harddrivesdirect_7881354,usapartsdirect_harddrivesdirect,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_17483872,sillworks_11765286,usapartsdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_8032585,tweakers_1229406,usapartsdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
sillworks_3953447,tweakers_12318621,sillworks_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,12
harddrivesdirect_17507083,tweakers_16345015,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,disagreement,13
usapartsdirect_306740,harddrivesdirect_16287504,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,14
usapartsdirect_12155365,harddrivesdirect_1623293,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,15
harddrivesdirect_11008840,sillworks_10772068,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,16
harddrivesdirect_14351847,sillworks_1179406,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,17
usapartsdirect_13182245,harddrivesdirect_13359301,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,18
harddrivesdirect_3620630,sillworks_13258999,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,19
sillworks_16617790,tweakers_9916470,sillworks_tweakers,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,20
harddrivesdirect_2354837,tweakers_2692377,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,21
usapartsdirect_828634,harddrivesdirect_8992858,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,22
harddrivesdirect_13443020,sillworks_10446720,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,23
usapartsdirect_780187,sillworks_7484877,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,24
usapartsdirect_1293532,sillworks_7813169,usapartsdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,25
harddrivesdirect_10916433,sillworks_6957645,harddrivesdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, False, True, True, False)",,,disagreement,26
usapartsdirect_1993494,sillworks_9964392,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,27
usapartsdirect_1375306,sillworks_16598220,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,28
usapartsdirect_8554231,harddrivesdirect_9882498,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,29
usapartsdirect_9405203,harddrivesdirect_5158963,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,30
usapartsdirect_4420351,sillworks_7048599,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,31
usapartsdirect_14636601,sillworks_14498910,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,32
sillworks_7325493,tweakers_17267247,sillworks_tweakers,True,True,0.4,,,,,,1.0,0.34590476190476194,"(True, False, False, True, False)",0.16666666666666666,6.0,disagreement_post_graph_transfer,33
usapartsdirect_12616158,sillworks_14038453,usapartsdirect_sillworks,False,False,0.4,,,,,,1.0,0.38014834622027527,"(False, False, False, True, True)",0.14285714285714285,7.0,disagreement_post_graph_transfer,34
usapartsdirect_10871607,harddrivesdirect_9236036,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.38694061064282925,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph_transfer,35
harddrivesdirect_11009483,sillworks_4861888,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.3816684571766609,"(True, True, True, False, False)",0.5,2.0,disagreement_post_graph_transfer,36
usapartsdirect_12229536,harddrivesdirect_10233576,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.3885616659708331,"(True, False, False, True, False)",0.16666666666666666,6.0,disagreement_post_graph_transfer,37
harddrivesdirect_3615995,sillworks_1950877,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.36987350658218604,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph_transfer,38
usapartsdirect_12659699,sillworks_3572844,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.373873498813346,"(False, True, True, True, False)",0.14285714285714285,7.0,disagreement_post_graph_transfer,39
usapartsdirect_4423174,sillworks_16600136,usapartsdirect_sillworks,False,True,0.4,,,,,,0.0,0.38547503508742365,"(True, False, False, False, True)",1.0,0.0,disagreement_post_graph_transfer,40
harddrivesdirect_10118972,sillworks_13196410,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.38242068359886283,"(True, True, True, False, False)",0.125,8.0,disagreement_post_graph_transfer,41
usapartsdirect_17246173,harddrivesdirect_14014828,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.38282215765872607,"(False, True, False, False, True)",0.125,8.0,disagreement_post_graph_transfer,42
harddrivesdirect_17453635,sillworks_15326224,harddrivesdirect_sillworks,False,True,0.4,,,,,,1.0,0.386447738902463,"(True, True, True, False, False)",0.3333333333333333,3.0,disagreement_post_graph_transfer,43
usapartsdirect_12972843,harddrivesdirect_15299605,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.37510455045000757,"(False, True, True, False, False)",0.2,5.0,disagreement_post_graph_transfer,44
harddrivesdirect_7719353,sillworks_14477558,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.3808915178130636,"(True, True, True, False, False)",0.3333333333333333,3.0,disagreement_post_graph_transfer,45
usapartsdirect_1375306,sillworks_3818653,usapartsdirect_sillworks,True,True,0.4,,,,,,1.0,0.3803285045554715,"(True, True, False, False, False)",0.2,5.0,disagreement_post_graph_transfer,46
usapartsdirect_9213797,sillworks_14249568,usapartsdirect_sillworks,False,True,0.4,,,,,,1.0,0.3811077755511582,"(True, False, False, True, False)",0.14285714285714285,7.0,disagreement_post_graph_transfer,47
usapartsdirect_2652502,harddrivesdirect_15336812,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.3727645129161645,"(True, True, False, True, False)",0.16666666666666666,6.0,disagreement_post_graph_transfer,48
usapartsdirect_14122268,harddrivesdirect_4339126,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.38787832449829995,"(False, True, True, True, False)",0.16666666666666666,6.0,disagreement_post_graph_transfer,49
usapartsdirect_1021956,harddrivesdirect_7489924,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.3870634459754701,"(False, True, False, True, True)",1.0,0.0,disagreement_post_graph_transfer,50
usapartsdirect_14193817,sillworks_16919368,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.37362685487503017,"(False, True, True, False, False)",0.2,5.0,disagreement_post_graph_transfer,51
usapartsdirect_12155365,harddrivesdirect_16265699,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.38811189035690474,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph_transfer,52
harddrivesdirect_17332550,sillworks_8804658,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.381977068085781,"(True, False, False, True, True)",0.5,2.0,disagreement_post_graph_transfer,53
harddrivesdirect_120449,sillworks_15719094,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.3821148562009358,"(False, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph_transfer,54
usapartsdirect_13858241,harddrivesdirect_16685669,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.3735641345058157,"(False, True, False, True, True)",0.14285714285714285,7.0,disagreement_post_graph_transfer,55
usapartsdirect_2987784,sillworks_7972654,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.3804314028971443,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph_transfer,56
usapartsdirect_15296962,harddrivesdirect_9361778,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,0.0,0.3828664929632699,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph_transfer,57
harddrivesdirect_5707213,sillworks_2957431,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.38228192361437463,"(False, True, False, False, True)",0.25,4.0,disagreement_post_graph_transfer,58
usapartsdirect_16891360,sillworks_6924155,usapartsdirect_sillworks,False,False,0.4,,,,,,1.0,0.37950927039420046,"(False, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph_transfer,59
usapartsdirect_15290761,sillworks_7713305,usapartsdirect_sillworks,False,True,0.4,,,,,,0.0,0.3800533694286419,"(True, False, False, True, False)",1.0,0.0,disagreement_post_graph_transfer,60
harddrivesdirect_6800598,sillworks_17035639,harddrivesdirect_sillworks,False,False,0.4,,,,,,1.0,0.38590470125426846,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph_transfer,61
usapartsdirect_10421661,harddrivesdirect_4645674,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,1.0,0.3709073738540687,"(True, True, False, False, False)",0.0625,16.0,disagreement_post_graph_transfer,62
harddrivesdirect_13949046,sillworks_5012050,harddrivesdirect_sillworks,False,True,0.4,,,,,,1.0,0.3870517990819868,"(True, False, False, False, True)",0.3333333333333333,3.0,disagreement_post_graph_transfer,63
usapartsdirect_4724731,sillworks_15949399,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.3843659196239726,"(False, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph_transfer,64
harddrivesdirect_9110001,sillworks_10058812,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.3828583899047924,"(False, True, True, False, False)",0.16666666666666666,6.0,disagreement_post_graph_transfer,65
harddrivesdirect_250427,sillworks_17038149,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.38112035943122935,"(True, True, True, False, False)",0.25,4.0,disagreement_post_graph_transfer,66
usapartsdirect_698634,sillworks_9250794,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.3790062388353268,"(False, False, False, True, True)",0.14285714285714285,7.0,disagreement_post_graph_transfer,67
usapartsdirect_2987784,sillworks_1328728,usapartsdirect_sillworks,False,False,0.4,,,,,,0.0,0.3840496163322438,"(False, True, False, False, True)",1.0,0.0,disagreement_post_graph_transfer,68
