P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.133,0.0,0.942,0.0,0.233,0.0,0.233,0.0,0.4788333333333334,0.0,0.4788333333333334,0.0
0.203,0.0,0.869,0.0,0.329,0.0,0.329,0.0,0.5138333333333334,0.0,0.5138333333333334,0.0
0.444,0.0,0.639,0.0,0.524,0.0,0.524,0.0,0.6126666666666667,0.0,0.6126666666666667,0.0
0.618,0.0,0.608,0.0,0.613,0.0,0.613,0.0,0.6361666666666667,0.0,0.6361666666666667,0.0
0.429,0.0,0.774,0.0,0.552,0.0,0.552,0.0,0.5943333333333333,0.0,0.5943333333333333,0.0
0.557,0.0,0.673,0.0,0.609,0.0,0.609,0.0,0.6213333333333333,0.0,0.6213333333333333,0.0
0.623,0.0,0.677,0.0,0.649,0.0,0.649,0.0,0.6918333333333333,0.0,0.6918333333333333,0.0
0.659,0.0,0.704,0.0,0.681,0.0,0.681,0.0,0.7319999999999999,0.0,0.7319999999999999,0.0
0.657,0.0,0.594,0.0,0.624,0.0,0.624,0.0,0.676,0.0,0.676,0.0
0.818,0.0,0.605,0.0,0.695,0.0,0.695,0.0,0.7223333333333334,0.0,0.7223333333333334,0.0
0.702,0.0,0.725,0.0,0.713,0.0,0.713,0.0,0.7381666666666667,0.0,0.7381666666666667,0.0
0.735,0.0,0.708,0.0,0.722,0.0,0.722,0.0,0.7411666666666666,0.0,0.7411666666666666,0.0
0.747,0.0,0.732,0.0,0.74,0.0,0.74,0.0,0.7598333333333334,0.0,0.7598333333333334,0.0
0.714,0.0,0.868,0.0,0.784,0.0,0.784,0.0,0.8218333333333332,0.0,0.8218333333333332,0.0
0.83,0.0,0.819,0.0,0.824,0.0,0.824,0.0,0.8433333333333334,0.0,0.8433333333333334,0.0
0.787,0.0,0.769,0.0,0.778,0.0,0.778,0.0,0.7718333333333334,0.0,0.7718333333333334,0.0
0.837,0.0,0.835,0.0,0.836,0.0,0.836,0.0,0.8500000000000001,0.0,0.8500000000000001,0.0
0.78,0.0,0.827,0.0,0.803,0.0,0.803,0.0,0.801,0.0,0.801,0.0
0.801,0.0,0.86,0.0,0.829,0.0,0.829,0.0,0.8405,0.0,0.8405,0.0
0.846,0.0,0.796,0.0,0.82,0.0,0.82,0.0,0.8118333333333334,0.0,0.8118333333333334,0.0
0.884,0.0,0.726,0.0,0.797,0.0,0.797,0.0,0.7839999999999999,0.0,0.7839999999999999,0.0
0.878,0.0,0.734,0.0,0.8,0.0,0.798,0.0,0.7858333333333333,0.0,0.7836666666666666,0.0
0.873,0.0,0.76,0.0,0.813,0.0,0.819,0.0,0.8029999999999999,0.0,0.8086666666666668,0.0
0.847,0.0,0.795,0.0,0.82,0.0,0.847,0.0,0.8123333333333332,0.0,0.8474999999999998,0.0
0.854,0.0,0.792,0.0,0.822,0.0,0.839,0.0,0.8045,0.0,0.8438333333333333,0.0
0.866,0.0,0.836,0.0,0.851,0.0,0.843,0.0,0.8583333333333334,0.0,0.8403333333333333,0.0
0.851,0.0,0.832,0.0,0.841,0.0,0.856,0.0,0.8488333333333332,0.0,0.8671666666666668,0.0
0.862,0.0,0.804,0.0,0.832,0.0,0.859,0.0,0.8150000000000001,0.0,0.8673333333333333,0.0
0.838,0.0,0.816,0.0,0.827,0.0,0.853,0.0,0.8221666666666666,0.0,0.8504999999999999,0.0
0.834,0.0,0.795,0.0,0.814,0.0,0.839,0.0,0.7925,0.0,0.8436666666666667,0.0
0.899,0.0,0.786,0.0,0.839,0.0,0.841,0.0,0.8220000000000001,0.0,0.8325,0.0
0.832,0.0,0.795,0.0,0.813,0.0,0.853,0.0,0.7938333333333333,0.0,0.846,0.0
