source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
harddrivesdirect_8269070,sillworks_17477907,harddrivesdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_16578034,tweakers_13689514,harddrivesdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
sillworks_17273976,tweakers_6207914,sillworks_tweakers,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_12957102,harddrivesdirect_13313461,usapartsdirect_harddrivesdirect,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_17115570,sillworks_6584826,usapartsdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_9962668,tweakers_7588145,usapartsdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_6750039,sillworks_17054073,harddrivesdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
harddrivesdirect_13008950,tweakers_135779,harddrivesdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
sillworks_17510523,tweakers_6232023,sillworks_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_4968342,harddrivesdirect_7881354,usapartsdirect_harddrivesdirect,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_17483872,sillworks_11765286,usapartsdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_8032585,tweakers_1229406,usapartsdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_8368223,tweakers_13873550,usapartsdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,12
usapartsdirect_11136976,sillworks_6319195,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,13
usapartsdirect_8907201,sillworks_11517941,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,14
usapartsdirect_8185957,harddrivesdirect_15946060,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,15
usapartsdirect_14027487,sillworks_14277382,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,16
usapartsdirect_1422108,harddrivesdirect_4386225,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,17
harddrivesdirect_4770004,tweakers_16867047,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,18
usapartsdirect_9213797,harddrivesdirect_8702769,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,19
usapartsdirect_4133579,harddrivesdirect_13813991,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,20
usapartsdirect_2220411,harddrivesdirect_8858440,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,21
harddrivesdirect_919011,sillworks_2256639,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,22
usapartsdirect_17341508,harddrivesdirect_8060407,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,23
usapartsdirect_16891360,harddrivesdirect_7215092,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,24
harddrivesdirect_1806122,sillworks_4678268,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,25
usapartsdirect_1444722,sillworks_5224974,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, True, True, False)",,,disagreement,26
harddrivesdirect_11335719,sillworks_5591119,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,27
usapartsdirect_1222912,sillworks_3935270,usapartsdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,28
sillworks_11676107,tweakers_2925087,sillworks_tweakers,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,29
harddrivesdirect_5022599,sillworks_16964025,harddrivesdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,30
harddrivesdirect_6923456,sillworks_16147258,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,31
usapartsdirect_976322,harddrivesdirect_7331335,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,32
harddrivesdirect_14323449,sillworks_12811096,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,33
sillworks_699856,tweakers_15805793,sillworks_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,34
usapartsdirect_16566227,harddrivesdirect_7463726,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,35
usapartsdirect_13673568,sillworks_4105447,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,36
usapartsdirect_4165006,harddrivesdirect_9306611,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,37
usapartsdirect_1932462,harddrivesdirect_5287292,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,38
usapartsdirect_5272105,sillworks_494968,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,39
usapartsdirect_2010107,harddrivesdirect_703426,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,40
harddrivesdirect_3499584,sillworks_11091716,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,41
harddrivesdirect_1136498,sillworks_5513722,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,42
usapartsdirect_10001558,sillworks_12259021,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,43
harddrivesdirect_16609833,sillworks_12911394,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,44
harddrivesdirect_8381359,sillworks_10519758,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,45
harddrivesdirect_16055,sillworks_6044440,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,46
harddrivesdirect_8107840,sillworks_5882812,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,47
usapartsdirect_8839597,sillworks_3169720,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,48
usapartsdirect_7443924,harddrivesdirect_8408026,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,49
usapartsdirect_6877750,tweakers_11139952,usapartsdirect_tweakers,True,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,50
usapartsdirect_17025526,harddrivesdirect_13025959,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,51
usapartsdirect_10584911,harddrivesdirect_12434845,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,,0.4,"(False, False, True, True, False)",,,disagreement,52
harddrivesdirect_6187538,tweakers_14853699,harddrivesdirect_tweakers,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,53
usapartsdirect_12926958,harddrivesdirect_3610607,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,54
usapartsdirect_2023117,tweakers_11683306,usapartsdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,55
harddrivesdirect_10509634,tweakers_11024108,harddrivesdirect_tweakers,True,True,0.4,,,,,,,0.4,"(True, False, True, False, True)",,,disagreement,56
harddrivesdirect_201846,sillworks_15177146,harddrivesdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,57
harddrivesdirect_7563291,tweakers_14291798,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,58
usapartsdirect_1891535,sillworks_16870589,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,59
usapartsdirect_13199434,sillworks_14925923,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,60
usapartsdirect_1428628,sillworks_15594000,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,61
harddrivesdirect_13949046,sillworks_12737701,harddrivesdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,62
usapartsdirect_1293532,harddrivesdirect_3136364,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,63
harddrivesdirect_8929315,sillworks_1699090,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,64
usapartsdirect_7560115,harddrivesdirect_12525479,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,65
harddrivesdirect_3121001,sillworks_15889599,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,66
usapartsdirect_8333053,sillworks_5408223,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, False, False, True)",,,disagreement,67
usapartsdirect_2201586,harddrivesdirect_14472826,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,68
harddrivesdirect_8498296,sillworks_3818181,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,69
usapartsdirect_2652502,harddrivesdirect_15336812,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,70
harddrivesdirect_6668319,sillworks_6096835,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,71
usapartsdirect_390186,harddrivesdirect_4810244,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,72
harddrivesdirect_10313713,sillworks_17512011,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,73
usapartsdirect_11640098,harddrivesdirect_4720693,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,74
harddrivesdirect_15894172,sillworks_6118935,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,75
harddrivesdirect_16116548,sillworks_10700443,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,76
usapartsdirect_11164650,harddrivesdirect_4572209,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,77
harddrivesdirect_10900497,sillworks_14793721,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,78
usapartsdirect_12068650,sillworks_13456278,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,79
