source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
harddrivesdirect_8269070,sillworks_17477907,harddrivesdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_16578034,tweakers_13689514,harddrivesdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
sillworks_17273976,tweakers_6207914,sillworks_tweakers,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_12957102,harddrivesdirect_13313461,usapartsdirect_harddrivesdirect,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_17115570,sillworks_6584826,usapartsdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_9962668,tweakers_7588145,usapartsdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_6750039,sillworks_17054073,harddrivesdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
harddrivesdirect_13008950,tweakers_135779,harddrivesdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
sillworks_17510523,tweakers_6232023,sillworks_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_4968342,harddrivesdirect_7881354,usapartsdirect_harddrivesdirect,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_17483872,sillworks_11765286,usapartsdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_8032585,tweakers_1229406,usapartsdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_6964970,sillworks_882042,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,12
usapartsdirect_908043,tweakers_3878020,usapartsdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, True, False, True)",,,disagreement,13
harddrivesdirect_7593941,tweakers_7204295,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,14
usapartsdirect_11617132,harddrivesdirect_4409202,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,15
usapartsdirect_9117521,harddrivesdirect_12542644,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,16
harddrivesdirect_642605,sillworks_11253357,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,17
harddrivesdirect_8089780,sillworks_15632929,harddrivesdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,18
harddrivesdirect_4680912,sillworks_3818653,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, True, False, True)",,,disagreement,19
harddrivesdirect_9845772,sillworks_7654744,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,20
usapartsdirect_6672216,tweakers_4706658,usapartsdirect_tweakers,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,21
usapartsdirect_5370115,tweakers_6423575,usapartsdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,22
usapartsdirect_6073158,sillworks_1609035,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,23
harddrivesdirect_8506584,sillworks_3529548,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,24
harddrivesdirect_3338524,sillworks_4210820,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,25
harddrivesdirect_15371304,sillworks_15188966,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,26
harddrivesdirect_8810173,sillworks_5853734,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,27
harddrivesdirect_8747411,sillworks_2753004,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,28
harddrivesdirect_2266359,sillworks_6237289,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, True, False, True)",,,disagreement,29
usapartsdirect_228850,sillworks_3262978,usapartsdirect_sillworks,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,30
usapartsdirect_14211771,harddrivesdirect_13806096,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,31
harddrivesdirect_11464783,sillworks_2392271,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,32
usapartsdirect_8345961,harddrivesdirect_7439295,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, False, True)",0.041666666666666664,24.0,disagreement_post_graph,33
usapartsdirect_12659699,sillworks_13512390,usapartsdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.14285714285714285,7.0,disagreement_post_graph,34
usapartsdirect_2584038,sillworks_9230600,usapartsdirect_sillworks,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,35
usapartsdirect_9455390,harddrivesdirect_9183136,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.2,5.0,disagreement_post_graph,36
usapartsdirect_14126038,sillworks_8429390,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.125,8.0,disagreement_post_graph,37
harddrivesdirect_11697108,sillworks_12139928,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,38
usapartsdirect_14027487,harddrivesdirect_1613387,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,39
sillworks_4680727,tweakers_8507678,sillworks_tweakers,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.2,5.0,disagreement_post_graph,40
usapartsdirect_13182245,harddrivesdirect_1772871,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.16666666666666666,6.0,disagreement_post_graph,41
harddrivesdirect_11069330,sillworks_12163593,harddrivesdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, False, True)",1.0,0.0,disagreement_post_graph,42
harddrivesdirect_4486882,tweakers_12301776,harddrivesdirect_tweakers,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0,disagreement_post_graph,43
harddrivesdirect_11362874,sillworks_3557407,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.5,2.0,disagreement_post_graph,44
harddrivesdirect_4902084,sillworks_3762598,harddrivesdirect_sillworks,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.16666666666666666,6.0,disagreement_post_graph,45
usapartsdirect_6284098,sillworks_6856450,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph,46
harddrivesdirect_6537345,sillworks_17266651,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.2,5.0,disagreement_post_graph,47
harddrivesdirect_12345607,sillworks_9393312,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.1,10.0,disagreement_post_graph,48
usapartsdirect_5370412,harddrivesdirect_12643961,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph,49
usapartsdirect_15169700,harddrivesdirect_3630033,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.14285714285714285,7.0,disagreement_post_graph,50
harddrivesdirect_708089,sillworks_13423951,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,51
harddrivesdirect_14772419,sillworks_14249568,harddrivesdirect_sillworks,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.14285714285714285,7.0,disagreement_post_graph,52
usapartsdirect_2010107,sillworks_15259300,usapartsdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, False)",1.0,0.0,disagreement_post_graph,53
harddrivesdirect_396873,sillworks_2318887,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.2,5.0,disagreement_post_graph,54
usapartsdirect_2048,harddrivesdirect_13849887,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, True, False)",0.16666666666666666,6.0,disagreement_post_graph,55
usapartsdirect_976322,harddrivesdirect_7331335,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,56
usapartsdirect_12314436,harddrivesdirect_6699905,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.5,2.0,disagreement_post_graph,57
usapartsdirect_7598676,sillworks_11180332,usapartsdirect_sillworks,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, False, True)",0.16666666666666666,6.0,disagreement_post_graph,58
sillworks_17302168,tweakers_11978947,sillworks_tweakers,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, False, True)",1.0,0.0,disagreement_post_graph,59
harddrivesdirect_6210432,sillworks_9271985,harddrivesdirect_sillworks,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph,60
harddrivesdirect_3929020,sillworks_13960291,harddrivesdirect_sillworks,False,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.08333333333333333,12.0,disagreement_post_graph,61
usapartsdirect_1375306,sillworks_3818653,usapartsdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.2,5.0,disagreement_post_graph,62
usapartsdirect_1809031,harddrivesdirect_15770785,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.1111111111111111,9.0,disagreement_post_graph,63
harddrivesdirect_2296195,sillworks_11933197,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0,disagreement_post_graph,64
harddrivesdirect_13287286,sillworks_7374051,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, False)",0.16666666666666666,6.0,disagreement_post_graph,65
harddrivesdirect_6879629,sillworks_8851944,harddrivesdirect_sillworks,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0,disagreement_post_graph,66
usapartsdirect_7541723,harddrivesdirect_7647424,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.14285714285714285,7.0,disagreement_post_graph,67
usapartsdirect_9716208,sillworks_8030775,usapartsdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,68
usapartsdirect_16459710,harddrivesdirect_8746549,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0,disagreement_post_graph,69
usapartsdirect_10543848,sillworks_5658305,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, False)",0.14285714285714285,7.0,disagreement_post_graph,70
usapartsdirect_12565345,sillworks_15501066,usapartsdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,71
