addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
49492,0.9916956275761739,0.8887686062246279,0.989,0.914,"Counter({2: 711, 3: 212, 4: 126, 5: 86, 6: 47, 7: 34, 13: 1, 21: 1, 10: 1, 9: 1, 8: 1})",1049,172,1,0,0,0,
49340,0.9928860964734495,0.9025811823480432,0.988,0.914,"Counter({2: 691, 3: 206, 4: 133, 5: 86, 6: 46, 7: 40, 11: 3, 8: 2, 12: 1, 22: 1, 9: 1, 10: 1})",1030,181,1,0,0,0,
49303,0.9936717846784171,0.9117147707979627,0.99,0.923,"Counter({2: 680, 3: 207, 4: 135, 5: 91, 6: 47, 7: 44, 8: 2, 9: 2, 13: 1, 22: 1, 10: 1})",1022,189,2,0,0,0,
49012,0.995307271688566,0.9324324324324323,0.988,0.913,"Counter({2: 649, 3: 206, 4: 139, 5: 96, 6: 49, 7: 43, 9: 5, 8: 5, 10: 3, 13: 2, 11: 2, 28: 1, 12: 1})",994,207,1,0,0,0,
48719,0.9957921960631376,0.9377467354995443,0.984,0.89,"Counter({2: 625, 3: 196, 4: 141, 5: 89, 6: 54, 7: 43, 10: 8, 9: 8, 11: 5, 8: 3, 13: 2, 12: 2, 15: 1, 17: 1, 28: 1, 19: 1})",962,218,2,0,0,0,
48731,0.9957727114157312,0.936576354679803,0.985,0.894,"Counter({2: 625, 3: 203, 4: 131, 5: 94, 6: 51, 7: 45, 9: 9, 8: 7, 10: 6, 11: 6, 12: 3, 13: 2, 15: 1, 22: 1})",959,225,2,0,0,0,
48910,0.9955632794929462,0.9349715313155529,0.987,0.907,"Counter({2: 635, 3: 202, 4: 138, 5: 98, 6: 52, 7: 44, 8: 10, 9: 5, 10: 3, 11: 3, 12: 2, 14: 1, 13: 1, 22: 1})",975,220,2,0,0,0,
48978,0.994140226224019,0.9151640555719774,0.986,0.898,"Counter({2: 661, 3: 191, 4: 134, 5: 92, 6: 47, 7: 41, 9: 7, 8: 6, 11: 5, 10: 2, 12: 2, 14: 1, 13: 1, 22: 1})",986,205,1,0,1,0,
49046,0.9939648493251233,0.9131964809384164,0.986,0.903,"Counter({2: 656, 3: 198, 4: 134, 5: 95, 6: 46, 7: 41, 8: 7, 9: 6, 11: 4, 10: 2, 13: 1, 22: 1, 12: 1, 1: 1})",989,204,2,0,1,1,
