addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
50140,0.981551655364978,0.783423085928354,0.981,0.839,"Counter({2: 753, 3: 221, 4: 116, 5: 65, 6: 30, 7: 20})",1090,115,0,0,0,0
49543,0.9918050986012151,0.8912111468381565,0.989,0.919,"Counter({2: 666, 3: 225, 4: 138, 5: 93, 6: 46, 7: 35, 11: 1, 10: 1, 9: 1})",1029,177,0,0,0,0
49745,0.9881194089858277,0.8486555697823303,0.986,0.894,"Counter({2: 682, 3: 221, 4: 138, 5: 85, 6: 44, 7: 26, 8: 2, 9: 1})",1041,158,0,0,0,0
49864,0.9857011070110702,0.8217945513621594,0.984,0.874,"Counter({2: 719, 3: 215, 4: 123, 5: 83, 6: 36, 7: 23, 11: 1, 9: 1})",1057,144,0,0,0,0
49735,0.9882778727254449,0.8500899974286449,0.986,0.894,"Counter({2: 699, 3: 218, 4: 130, 5: 84, 6: 44, 7: 29, 8: 1, 9: 1})",1047,159,0,0,0,0
49797,0.9872883908669197,0.8392176784353569,0.986,0.888,"Counter({2: 717, 3: 217, 4: 123, 5: 72, 6: 44, 7: 29, 11: 1, 9: 1})",1057,147,0,0,0,0
49308,0.9914009896974122,0.8838356164383562,0.985,0.892,"Counter({2: 665, 3: 198, 4: 146, 5: 85, 6: 45, 7: 36, 9: 4, 10: 3, 8: 2, 11: 2, 15: 1, 13: 1, 22: 1, 12: 1})",1009,181,0,0,0,0
49176,0.9930860582397918,0.9030233884768968,0.987,0.903,"Counter({2: 651, 3: 193, 4: 144, 5: 99, 6: 42, 7: 40, 9: 5, 8: 3, 11: 3, 12: 2, 13: 1, 22: 1, 10: 1})",988,197,1,0,0,0
49317,0.9919905914796114,0.8909743306651946,0.987,0.902,"Counter({2: 658, 3: 203, 4: 147, 5: 92, 6: 42, 7: 37, 9: 5, 11: 2, 10: 2, 15: 1, 13: 1, 17: 1, 8: 1})",1008,184,0,0,0,0
49389,0.9918402883233108,0.8894375857338821,0.988,0.908,"Counter({2: 657, 3: 209, 4: 144, 5: 93, 6: 44, 7: 36, 9: 4, 8: 2, 10: 2, 14: 1, 17: 1, 12: 1})",1010,184,0,0,0,0
49283,0.9925937950205953,0.8993658671078025,0.987,0.905,"Counter({2: 656, 3: 200, 4: 155, 5: 88, 6: 44, 7: 36, 9: 5, 12: 2, 11: 2, 15: 1, 13: 1, 23: 1, 10: 1, 8: 1})",1011,182,0,0,0,0
