P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.135,0.0,0.954,0.0,0.237,0.0,0.237,0.0,0.5088333333333334,0.0,0.5088333333333334,0.0
0.323,0.0,0.809,0.0,0.462,0.0,0.462,0.0,0.5978333333333333,0.0,0.5978333333333333,0.0
0.562,0.0,0.8,0.0,0.661,0.0,0.661,0.0,0.7145,0.0,0.7145,0.0
0.898,0.0,0.539,0.0,0.674,0.0,0.674,0.0,0.707,0.0,0.707,0.0
0.937,0.0,0.522,0.0,0.67,0.0,0.67,0.0,0.7116666666666666,0.0,0.7116666666666666,0.0
0.694,0.0,0.659,0.0,0.676,0.0,0.676,0.0,0.7016666666666667,0.0,0.7016666666666667,0.0
0.826,0.0,0.763,0.0,0.793,0.0,0.793,0.0,0.7918333333333334,0.0,0.7918333333333334,0.0
0.925,0.0,0.521,0.0,0.666,0.0,0.666,0.0,0.7016666666666667,0.0,0.7016666666666667,0.0
0.943,0.0,0.489,0.0,0.644,0.0,0.644,0.0,0.6848333333333333,0.0,0.6848333333333333,0.0
0.934,0.0,0.348,0.0,0.507,0.0,0.507,0.0,0.5913333333333334,0.0,0.5913333333333334,0.0
0.871,0.0,0.362,0.0,0.512,0.0,0.512,0.0,0.5955,0.0,0.5955,0.0
0.917,0.0,0.49,0.0,0.639,0.0,0.639,0.0,0.6825000000000001,0.0,0.6825000000000001,0.0
0.941,0.0,0.333,0.0,0.492,0.0,0.492,0.0,0.5773333333333334,0.0,0.5773333333333334,0.0
0.922,0.0,0.352,0.0,0.51,0.0,0.51,0.0,0.5923333333333334,0.0,0.5923333333333334,0.0
0.933,0.0,0.369,0.0,0.529,0.0,0.529,0.0,0.6058333333333333,0.0,0.6058333333333333,0.0
0.937,0.0,0.389,0.0,0.55,0.0,0.55,0.0,0.6208333333333332,0.0,0.6208333333333332,0.0
0.899,0.0,0.514,0.0,0.654,0.0,0.654,0.0,0.6928333333333333,0.0,0.6928333333333333,0.0
0.884,0.0,0.503,0.0,0.641,0.0,0.641,0.0,0.6838333333333333,0.0,0.6838333333333333,0.0
0.933,0.0,0.463,0.0,0.619,0.0,0.619,0.0,0.6686666666666667,0.0,0.6686666666666667,0.0
0.912,0.0,0.633,0.0,0.747,0.0,0.747,0.0,0.7563333333333334,0.0,0.7563333333333334,0.0
0.799,0.0,0.758,0.0,0.778,0.0,0.778,0.0,0.7911666666666667,0.0,0.7911666666666667,0.0
0.908,0.0,0.728,0.0,0.808,0.0,0.767,0.0,0.8486666666666666,0.0,0.8055,0.0
0.883,0.0,0.748,0.0,0.81,0.0,0.833,0.0,0.8431666666666667,0.0,0.8656666666666667,0.0
0.901,0.0,0.731,0.0,0.808,0.0,0.822,0.0,0.8461666666666665,0.0,0.8566666666666666,0.0
0.85,0.0,0.79,0.0,0.819,0.0,0.833,0.0,0.8588333333333332,0.0,0.8703333333333333,0.0
0.883,0.0,0.785,0.0,0.831,0.0,0.814,0.0,0.8675000000000002,0.0,0.86,0.0
0.868,0.0,0.832,0.0,0.85,0.0,0.848,0.0,0.8773333333333332,0.0,0.8848333333333334,0.0
0.824,0.0,0.845,0.0,0.834,0.0,0.864,0.0,0.863,0.0,0.8868333333333335,0.0
0.761,0.0,0.818,0.0,0.788,0.0,0.829,0.0,0.8384999999999999,0.0,0.8651666666666668,0.0
0.848,0.0,0.815,0.0,0.831,0.0,0.787,0.0,0.8561666666666667,0.0,0.8458333333333332,0.0
0.85,0.0,0.835,0.0,0.842,0.0,0.849,0.0,0.8693333333333332,0.0,0.8761666666666668,0.0
0.815,0.0,0.841,0.0,0.828,0.0,0.838,0.0,0.8595,0.0,0.8705000000000002,0.0
0.872,0.0,0.856,0.0,0.864,0.0,0.838,0.0,0.8885,0.0,0.8711666666666665,0.0
0.871,0.0,0.864,0.0,0.867,0.0,0.871,0.0,0.8956666666666667,0.0,0.8935,0.0
0.87,0.0,0.841,0.0,0.856,0.0,0.879,0.0,0.8921666666666667,0.0,0.91,0.0
0.894,0.0,0.826,0.0,0.858,0.0,0.867,0.0,0.8901666666666666,0.0,0.9034999999999999,0.0
0.88,0.0,0.836,0.0,0.857,0.0,0.87,0.0,0.882,0.0,0.904,0.0
0.852,0.0,0.83,0.0,0.841,0.0,0.872,0.0,0.8683333333333333,0.0,0.8933333333333334,0.0
0.879,0.0,0.861,0.0,0.87,0.0,0.84,0.0,0.8996666666666666,0.0,0.8695,0.0
0.883,0.0,0.872,0.0,0.878,0.0,0.887,0.0,0.9060000000000001,0.0,0.9158333333333334,0.0
0.915,0.0,0.865,0.0,0.889,0.0,0.885,0.0,0.9121666666666667,0.0,0.9129999999999999,0.0
0.901,0.0,0.829,0.0,0.863,0.0,0.898,0.0,0.8871666666666665,0.0,0.9235000000000001,0.0
0.895,0.0,0.875,0.0,0.885,0.0,0.873,0.0,0.914,0.0,0.8939999999999998,0.0
0.893,0.0,0.877,0.0,0.885,0.0,0.903,0.0,0.9155000000000001,0.0,0.9318333333333334,0.0
0.891,0.0,0.878,0.0,0.884,0.0,0.889,0.0,0.9171666666666666,0.0,0.9213333333333334,0.0
0.897,0.0,0.87,0.0,0.884,0.0,0.886,0.0,0.9176666666666667,0.0,0.9185,0.0
0.867,0.0,0.88,0.0,0.873,0.0,0.898,0.0,0.9005,0.0,0.9273333333333333,0.0
0.908,0.0,0.853,0.0,0.88,0.0,0.877,0.0,0.9043333333333333,0.0,0.9063333333333333,0.0
0.872,0.0,0.871,0.0,0.872,0.0,0.897,0.0,0.8986666666666666,0.0,0.9193333333333333,0.0
0.837,0.0,0.912,0.0,0.873,0.0,0.879,0.0,0.9094999999999999,0.0,0.9026666666666667,0.0
0.855,0.0,0.924,0.0,0.888,0.0,0.892,0.0,0.9201666666666668,0.0,0.9246666666666666,0.0
0.876,0.0,0.914,0.0,0.895,0.0,0.903,0.0,0.9236666666666666,0.0,0.9308333333333333,0.0
0.86,0.0,0.926,0.0,0.891,0.0,0.905,0.0,0.9255,0.0,0.9306666666666668,0.0
0.862,0.0,0.93,0.0,0.895,0.0,0.9,0.0,0.9251666666666667,0.0,0.9293333333333335,0.0
0.86,0.0,0.912,0.0,0.885,0.0,0.904,0.0,0.9175,0.0,0.9314999999999999,0.0
0.849,0.0,0.931,0.0,0.888,0.0,0.901,0.0,0.9228333333333333,0.0,0.9296666666666668,0.0
