addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
47401,0.9895993755406004,0.8285217391304348,0.962,0.763,"Counter({2: 472, 3: 163, 4: 136, 5: 77, 6: 47, 7: 37, 9: 15, 8: 9, 10: 6, 11: 6, 16: 4, 13: 4, 12: 4, 14: 3, 19: 3, 18: 2, 15: 2, 81: 1, 29: 1, 25: 1, 22: 1, 20: 1, 24: 1, 17: 1})",771,226,8,0,1,0
47954,0.9895107811652833,0.8383156541305048,0.97,0.801,"Counter({2: 502, 3: 180, 4: 139, 5: 81, 6: 52, 7: 31, 8: 8, 10: 7, 9: 6, 11: 4, 13: 4, 12: 3, 14: 2, 16: 2, 15: 2, 18: 1, 19: 1, 28: 1, 25: 1, 60: 1, 17: 1, 21: 1})",821,209,3,0,1,0
47575,0.9903520756699947,0.8438244300782578,0.966,0.782,"Counter({2: 466, 3: 180, 4: 138, 5: 87, 6: 56, 7: 37, 10: 11, 11: 8, 9: 6, 14: 5, 8: 5, 12: 4, 13: 3, 16: 2, 81: 1, 24: 1, 15: 1, 28: 1, 34: 1, 19: 1, 21: 1, 20: 1})",784,232,5,0,2,0
47720,0.9908214585079631,0.8540972684876749,0.969,0.796,"Counter({2: 475, 3: 185, 4: 142, 5: 91, 6: 55, 7: 44, 8: 10, 9: 9, 10: 7, 16: 3, 12: 3, 15: 3, 11: 3, 18: 2, 13: 2, 63: 1, 29: 1, 24: 1, 38: 1, 21: 1})",802,237,5,0,1,0
47882,0.9904348189298693,0.8496388706500329,0.971,0.807,"Counter({2: 464, 3: 186, 4: 147, 5: 83, 6: 61, 7: 37, 11: 9, 9: 7, 10: 6, 8: 6, 15: 4, 13: 3, 16: 2, 17: 2, 21: 2, 12: 2, 20: 1, 29: 1, 37: 1, 18: 1, 14: 1})",797,229,6,0,1,0
48044,0.9896969444675714,0.8402710551790901,0.973,0.815,"Counter({2: 480, 3: 197, 4: 141, 5: 88, 6: 51, 7: 39, 8: 9, 10: 8, 9: 6, 11: 5, 13: 4, 12: 3, 18: 2, 15: 2, 29: 1, 24: 1, 17: 1, 14: 1, 22: 1})",818,222,7,0,0,0
48352,0.9901348444738584,0.8513555624805235,0.978,0.846,"Counter({2: 484, 3: 197, 4: 154, 5: 101, 6: 57, 7: 39, 9: 8, 10: 4, 13: 3, 8: 3, 11: 3, 18: 1, 16: 1, 23: 1, 19: 1, 17: 1, 14: 1, 12: 1})",835,225,5,0,0,0
