P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.115,0.873,0.204,0.204,0.3701666666666666,0.3701666666666666
0.117,0.858,0.206,0.206,0.3428333333333334,0.3428333333333334
0.138,0.877,0.239,0.239,0.42300000000000004,0.42300000000000004
0.23,0.873,0.365,0.365,0.48000000000000004,0.48000000000000004
0.451,0.817,0.581,0.581,0.6345,0.6345
0.517,0.806,0.63,0.63,0.6693333333333333,0.6693333333333333
0.667,0.713,0.689,0.689,0.6921666666666666,0.6921666666666666
0.508,0.748,0.605,0.605,0.6556666666666666,0.6556666666666666
0.554,0.732,0.631,0.631,0.6709999999999999,0.6709999999999999
0.821,0.714,0.764,0.764,0.741,0.741
0.857,0.681,0.759,0.759,0.7215000000000001,0.7215000000000001
0.834,0.718,0.772,0.772,0.7558333333333334,0.7558333333333334
0.811,0.716,0.761,0.761,0.7414999999999999,0.7414999999999999
0.81,0.725,0.765,0.765,0.7463333333333333,0.7463333333333333
0.876,0.696,0.776,0.776,0.7553333333333333,0.7553333333333333
0.775,0.689,0.729,0.729,0.7233333333333333,0.7233333333333333
0.792,0.743,0.766,0.766,0.749,0.749
0.841,0.68,0.752,0.752,0.7404999999999999,0.7404999999999999
0.848,0.727,0.783,0.783,0.7616666666666666,0.7616666666666666
0.836,0.719,0.773,0.773,0.7560000000000001,0.7560000000000001
0.865,0.746,0.801,0.801,0.7736666666666666,0.7736666666666666
0.895,0.696,0.783,0.794,0.7631666666666667,0.7695
0.849,0.726,0.782,0.799,0.7621666666666665,0.7731666666666667
0.859,0.77,0.812,0.789,0.7815,0.767
0.856,0.775,0.813,0.835,0.7806666666666665,0.7949999999999999
0.871,0.777,0.821,0.815,0.7879999999999999,0.7826666666666666
0.839,0.8,0.819,0.846,0.7818333333333333,0.8023333333333333
0.828,0.81,0.819,0.828,0.7814999999999999,0.7891666666666666
0.846,0.812,0.829,0.827,0.7875,0.7896666666666666
0.832,0.804,0.818,0.847,0.7836666666666665,0.8029999999999999
0.816,0.832,0.824,0.83,0.7856666666666666,0.7916666666666666
0.804,0.829,0.816,0.83,0.7825000000000001,0.7906666666666666
0.838,0.836,0.837,0.831,0.7928333333333333,0.7918333333333333
0.811,0.835,0.823,0.847,0.7858333333333333,0.8016666666666666
0.811,0.834,0.822,0.821,0.785,0.7863333333333333
0.845,0.82,0.833,0.838,0.793,0.7958333333333333
0.836,0.816,0.826,0.85,0.7888333333333333,0.8043333333333332
0.865,0.805,0.834,0.834,0.7906666666666666,0.7943333333333332
0.821,0.805,0.813,0.846,0.7778333333333333,0.7999999999999999
0.863,0.805,0.833,0.829,0.7916666666666666,0.7903333333333333
0.871,0.808,0.838,0.846,0.7966666666666667,0.8024999999999999
0.868,0.807,0.836,0.847,0.7943333333333333,0.8031666666666667
0.817,0.8,0.808,0.841,0.777,0.7991666666666667
0.867,0.79,0.827,0.817,0.7888333333333334,0.7836666666666666
0.867,0.824,0.845,0.839,0.7995000000000001,0.7975
0.882,0.813,0.846,0.851,0.8009999999999998,0.8056666666666666
0.877,0.821,0.848,0.855,0.8029999999999999,0.8068333333333334
0.831,0.835,0.833,0.855,0.7903333333333333,0.8078333333333333
0.879,0.842,0.86,0.845,0.8089999999999998,0.8006666666666665
0.854,0.833,0.843,0.859,0.7963333333333332,0.8098333333333333
0.826,0.834,0.83,0.842,0.789,0.7991666666666667
0.821,0.848,0.835,0.837,0.7908333333333334,0.7955
0.808,0.857,0.832,0.843,0.7899999999999999,0.7978333333333332
0.84,0.852,0.846,0.84,0.7978333333333333,0.7946666666666667
0.85,0.845,0.848,0.854,0.8008333333333333,0.806
0.842,0.844,0.843,0.848,0.7953333333333333,0.8016666666666666
0.839,0.85,0.844,0.852,0.7979999999999999,0.805
0.847,0.842,0.844,0.849,0.7973333333333333,0.8031666666666665
0.86,0.835,0.848,0.854,0.8000000000000002,0.8048333333333334
0.851,0.831,0.841,0.852,0.7978333333333335,0.8061666666666666
0.847,0.843,0.845,0.846,0.8003333333333332,0.8029999999999999
0.838,0.835,0.836,0.843,0.7938333333333333,0.7989999999999999
0.828,0.842,0.835,0.846,0.7778333333333335,0.8006666666666665
0.783,0.849,0.814,0.837,0.7370000000000001,0.7783333333333333
0.844,0.843,0.844,0.8,0.7873333333333332,0.7124999999999999
0.813,0.847,0.83,0.851,0.7868333333333334,0.8003333333333335
