source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
harddrivesdirect_8269070,sillworks_17477907,harddrivesdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_4972580,tweakers_14291,harddrivesdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
sillworks_5545257,tweakers_4554085,sillworks_tweakers,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_342480,harddrivesdirect_13750019,usapartsdirect_harddrivesdirect,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_5515562,sillworks_11088254,usapartsdirect_sillworks,True,bootstrap,,,,,,,,,,,,,
usapartsdirect_13632650,tweakers_12661819,usapartsdirect_tweakers,True,bootstrap,,,,,,,,,,,,,
harddrivesdirect_14575413,sillworks_17054073,harddrivesdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
harddrivesdirect_2779737,tweakers_12419806,harddrivesdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
sillworks_17510523,tweakers_6232023,sillworks_tweakers,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_4968342,harddrivesdirect_7881354,usapartsdirect_harddrivesdirect,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_17483872,sillworks_11765286,usapartsdirect_sillworks,False,bootstrap,,,,,,,,,,,,,
usapartsdirect_5774703,tweakers_1229406,usapartsdirect_tweakers,False,bootstrap,,,,,,,,,,,,,
harddrivesdirect_190921,tweakers_12109717,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,12
sillworks_9460373,tweakers_14291,sillworks_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,13
usapartsdirect_9117521,harddrivesdirect_13997637,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,14
usapartsdirect_14481450,sillworks_15842718,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,15
usapartsdirect_1494014,sillworks_4389047,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,16
harddrivesdirect_14345955,sillworks_2710084,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,17
harddrivesdirect_8153652,sillworks_1769251,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,18
harddrivesdirect_7178731,sillworks_2035221,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,19
usapartsdirect_4310823,harddrivesdirect_8815761,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,20
usapartsdirect_17341508,sillworks_2994601,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,21
usapartsdirect_9089493,harddrivesdirect_10313277,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,22
harddrivesdirect_8172688,sillworks_14083913,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,23
usapartsdirect_13157934,sillworks_13258999,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,24
usapartsdirect_16734800,tweakers_13085719,usapartsdirect_tweakers,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,25
harddrivesdirect_16253612,sillworks_17321647,harddrivesdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,26
harddrivesdirect_10101309,sillworks_373468,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,27
usapartsdirect_10444640,sillworks_13191304,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,28
usapartsdirect_9716208,sillworks_1268672,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,29
harddrivesdirect_13236682,sillworks_6846630,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,30
usapartsdirect_1027836,harddrivesdirect_12930484,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,31
harddrivesdirect_118513,sillworks_12729382,harddrivesdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, False, False, False, True)",,,disagreement,32
usapartsdirect_12281065,harddrivesdirect_10407725,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.09090909090909091,11.0,disagreement_post_graph,33
usapartsdirect_2151952,harddrivesdirect_6879146,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, False)",0.16666666666666666,6.0,disagreement_post_graph,34
usapartsdirect_228850,sillworks_3262978,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.16666666666666666,6.0,disagreement_post_graph,35
harddrivesdirect_10254780,sillworks_16690127,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,36
usapartsdirect_9327667,sillworks_11824385,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, True, False)",0.3333333333333333,3.0,disagreement_post_graph,37
harddrivesdirect_14323449,sillworks_5202828,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.07142857142857142,14.0,disagreement_post_graph,38
usapartsdirect_14193817,sillworks_16919368,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, True)",0.2,5.0,disagreement_post_graph,39
harddrivesdirect_9991420,sillworks_4046710,harddrivesdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0,disagreement_post_graph,40
usapartsdirect_12221870,harddrivesdirect_15110369,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, True)",1.0,0.0,disagreement_post_graph,41
usapartsdirect_12855354,harddrivesdirect_7300672,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, False, True)",0.25,4.0,disagreement_post_graph,42
usapartsdirect_16434499,sillworks_8463077,usapartsdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, True, False, True)",1.0,0.0,disagreement_post_graph,43
harddrivesdirect_751036,sillworks_12163593,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.14285714285714285,7.0,disagreement_post_graph,44
usapartsdirect_4133579,sillworks_5487508,usapartsdirect_sillworks,False,False,0.4,,,,,,1.0,0.4,"(False, False, True, False, True)",0.1111111111111111,9.0,disagreement_post_graph,45
usapartsdirect_15588132,harddrivesdirect_6708916,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0,disagreement_post_graph,46
harddrivesdirect_2339173,sillworks_8237183,harddrivesdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, False)",1.0,0.0,disagreement_post_graph,47
usapartsdirect_16978149,sillworks_11303329,usapartsdirect_sillworks,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0,disagreement_post_graph,48
usapartsdirect_13828148,harddrivesdirect_17510894,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,49
