source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,clusters_inferred_label
harddrivesdirect_8269070,sillworks_17477907,harddrivesdirect_sillworks,True,bootstrap,,,,,,,,,,,,
harddrivesdirect_4972580,tweakers_14291,harddrivesdirect_tweakers,True,bootstrap,,,,,,,,,,,,
sillworks_5545257,tweakers_4554085,sillworks_tweakers,True,bootstrap,,,,,,,,,,,,
usapartsdirect_342480,harddrivesdirect_13750019,usapartsdirect_harddrivesdirect,True,bootstrap,,,,,,,,,,,,
usapartsdirect_5515562,sillworks_11088254,usapartsdirect_sillworks,True,bootstrap,,,,,,,,,,,,
usapartsdirect_13632650,tweakers_12661819,usapartsdirect_tweakers,True,bootstrap,,,,,,,,,,,,
harddrivesdirect_14575413,sillworks_17054073,harddrivesdirect_sillworks,False,bootstrap,,,,,,,,,,,,
harddrivesdirect_2779737,tweakers_12419806,harddrivesdirect_tweakers,False,bootstrap,,,,,,,,,,,,
sillworks_17510523,tweakers_6232023,sillworks_tweakers,False,bootstrap,,,,,,,,,,,,
usapartsdirect_4968342,harddrivesdirect_7881354,usapartsdirect_harddrivesdirect,False,bootstrap,,,,,,,,,,,,
usapartsdirect_17483872,sillworks_11765286,usapartsdirect_sillworks,False,bootstrap,,,,,,,,,,,,
usapartsdirect_5774703,tweakers_1229406,usapartsdirect_tweakers,False,bootstrap,,,,,,,,,,,,
usapartsdirect_12501497,sillworks_4101068,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,
usapartsdirect_17297499,harddrivesdirect_15568603,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
harddrivesdirect_13722392,sillworks_12370117,harddrivesdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,
usapartsdirect_2237517,sillworks_5984769,usapartsdirect_sillworks,False,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,
usapartsdirect_15060760,harddrivesdirect_5480631,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
usapartsdirect_7377519,sillworks_14580947,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,
usapartsdirect_12961750,harddrivesdirect_2416373,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,
harddrivesdirect_5613708,sillworks_1853356,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,
usapartsdirect_547979,harddrivesdirect_4386614,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,
harddrivesdirect_10064860,sillworks_13889085,harddrivesdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,
usapartsdirect_11640098,harddrivesdirect_4720693,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
usapartsdirect_15214887,harddrivesdirect_12515242,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
usapartsdirect_14528116,sillworks_16367344,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
usapartsdirect_7867387,sillworks_10893590,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
usapartsdirect_13687511,sillworks_6683223,usapartsdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,
harddrivesdirect_6340908,tweakers_3394690,harddrivesdirect_tweakers,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,
usapartsdirect_10001558,harddrivesdirect_8524060,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,
usapartsdirect_10584911,harddrivesdirect_14231911,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,
usapartsdirect_1135550,sillworks_4260238,usapartsdirect_sillworks,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,
harddrivesdirect_9177003,sillworks_13196410,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,
harddrivesdirect_15583927,sillworks_9250794,harddrivesdirect_sillworks,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,
usapartsdirect_11640098,harddrivesdirect_12742206,usapartsdirect_harddrivesdirect,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,
usapartsdirect_12229536,harddrivesdirect_10233576,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.16666666666666666,6.0,
usapartsdirect_4903944,harddrivesdirect_9269878,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.03333333333333333,30.0,
usapartsdirect_9805454,harddrivesdirect_4208979,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,
usapartsdirect_14268861,harddrivesdirect_7670605,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,
harddrivesdirect_9269878,sillworks_13285765,harddrivesdirect_sillworks,True,True,0.4,,,,,,0.0,0.4,"(True, False, True, True, False)",1.0,0.0,
usapartsdirect_9327667,sillworks_11824385,usapartsdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, False)",0.3333333333333333,3.0,
usapartsdirect_11992940,harddrivesdirect_16466481,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,
usapartsdirect_15066923,sillworks_4188703,usapartsdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, False)",1.0,0.0,
usapartsdirect_12969501,sillworks_17076232,usapartsdirect_sillworks,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0,
harddrivesdirect_13253856,sillworks_5622739,harddrivesdirect_sillworks,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0,
harddrivesdirect_6914260,sillworks_6456285,harddrivesdirect_sillworks,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, True, False)",0.14285714285714285,7.0,
usapartsdirect_13858241,harddrivesdirect_13313461,usapartsdirect_harddrivesdirect,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.14285714285714285,7.0,
harddrivesdirect_5711368,sillworks_14333224,harddrivesdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,
usapartsdirect_14855511,harddrivesdirect_9668009,usapartsdirect_harddrivesdirect,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0,
harddrivesdirect_5930018,tweakers_984750,harddrivesdirect_tweakers,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.3333333333333333,3.0,
harddrivesdirect_9620973,sillworks_6513719,harddrivesdirect_sillworks,False,True,0.4,,,,,,0.0,0.4,"(True, False, True, True, False)",1.0,0.0,
harddrivesdirect_13178654,sillworks_14437361,harddrivesdirect_sillworks,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.1,10.0,
usapartsdirect_4105016,harddrivesdirect_16025341,usapartsdirect_harddrivesdirect,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0,
harddrivesdirect_11976321,tweakers_9079833,harddrivesdirect_tweakers,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.5,2.0,
