P_model,R_model,F1_model_micro,F1_model_macro,F1_model_micro_boot,F1_model_micro_boost_graph,F1_model_macro_boot,F1_pairwise_model,Query,Query_Label,Strategy,Labeled_Set_Size
0.11,0.827,0.194,0.262,0.202,0.194,0.25216666666666665,"{'sillworks_tweakers': 0.281, 'harddrivesdirect_tweakers': 0.303, 'harddrivesdirect_sillworks': 0.236, 'usapartsdirect_sillworks': 0.155, 'usapartsdirect_harddrivesdirect': 0.176, 'usapartsdirect_tweakers': 0.421}",sillworks_13245908-tweakers_14901509,False,disagreement,13
0.25,0.85,0.386,0.5243333333333333,0.203,0.386,0.2538333333333333,"{'sillworks_tweakers': 0.655, 'harddrivesdirect_tweakers': 0.677, 'harddrivesdirect_sillworks': 0.417, 'usapartsdirect_sillworks': 0.303, 'usapartsdirect_harddrivesdirect': 0.355, 'usapartsdirect_tweakers': 0.739}",usapartsdirect_6333850-harddrivesdirect_17529034,False,disagreement,14
0.364,0.778,0.496,0.5328333333333334,0.203,0.496,0.25516666666666665,"{'sillworks_tweakers': 0.53, 'harddrivesdirect_tweakers': 0.586, 'harddrivesdirect_sillworks': 0.523, 'usapartsdirect_sillworks': 0.44, 'usapartsdirect_harddrivesdirect': 0.488, 'usapartsdirect_tweakers': 0.63}",usapartsdirect_17025526-harddrivesdirect_1690869,False,disagreement,15
0.804,0.653,0.721,0.6846666666666666,0.204,0.721,0.2585,"{'sillworks_tweakers': 0.573, 'harddrivesdirect_tweakers': 0.641, 'harddrivesdirect_sillworks': 0.736, 'usapartsdirect_sillworks': 0.754, 'usapartsdirect_harddrivesdirect': 0.737, 'usapartsdirect_tweakers': 0.667}",harddrivesdirect_9215591-sillworks_1662717,False,disagreement,16
0.543,0.764,0.635,0.6298333333333334,0.205,0.635,0.2598333333333333,"{'sillworks_tweakers': 0.59, 'harddrivesdirect_tweakers': 0.656, 'harddrivesdirect_sillworks': 0.668, 'usapartsdirect_sillworks': 0.609, 'usapartsdirect_harddrivesdirect': 0.62, 'usapartsdirect_tweakers': 0.636}",usapartsdirect_4165006-harddrivesdirect_8759912,True,disagreement,17
0.535,0.758,0.627,0.6588333333333333,0.205,0.627,0.2648333333333333,"{'sillworks_tweakers': 0.709, 'harddrivesdirect_tweakers': 0.663, 'harddrivesdirect_sillworks': 0.634, 'usapartsdirect_sillworks': 0.599, 'usapartsdirect_harddrivesdirect': 0.607, 'usapartsdirect_tweakers': 0.741}",harddrivesdirect_13522891-sillworks_3674283,True,disagreement,18
0.736,0.701,0.718,0.7079999999999999,0.205,0.718,0.26499999999999996,"{'sillworks_tweakers': 0.698, 'harddrivesdirect_tweakers': 0.663, 'harddrivesdirect_sillworks': 0.736, 'usapartsdirect_sillworks': 0.73, 'usapartsdirect_harddrivesdirect': 0.703, 'usapartsdirect_tweakers': 0.718}",usapartsdirect_12972843-harddrivesdirect_9726335,False,disagreement,19
0.739,0.738,0.739,0.7324999999999999,0.207,0.739,0.2753333333333334,"{'sillworks_tweakers': 0.706, 'harddrivesdirect_tweakers': 0.719, 'harddrivesdirect_sillworks': 0.758, 'usapartsdirect_sillworks': 0.751, 'usapartsdirect_harddrivesdirect': 0.715, 'usapartsdirect_tweakers': 0.746}",harddrivesdirect_2528371-sillworks_7139541,True,disagreement,20
0.782,0.738,0.76,0.7458333333333332,0.209,0.76,0.2778333333333333,"{'sillworks_tweakers': 0.713, 'harddrivesdirect_tweakers': 0.725, 'harddrivesdirect_sillworks': 0.773, 'usapartsdirect_sillworks': 0.783, 'usapartsdirect_harddrivesdirect': 0.746, 'usapartsdirect_tweakers': 0.735}",harddrivesdirect_9496898-sillworks_3872977,True,disagreement,21
0.572,0.733,0.643,0.6743333333333333,0.213,0.643,0.28783333333333333,"{'sillworks_tweakers': 0.705, 'harddrivesdirect_tweakers': 0.725, 'harddrivesdirect_sillworks': 0.647, 'usapartsdirect_sillworks': 0.604, 'usapartsdirect_harddrivesdirect': 0.626, 'usapartsdirect_tweakers': 0.739}",usapartsdirect_15568256-tweakers_1642669,True,disagreement,22
