P_model,R_model,F1_model_micro,F1_model_macro,F1_model_micro_boot,F1_model_micro_boost_graph,F1_model_macro_boot,F1_pairwise_model,Query,Query_Label,Strategy,Labeled_Set_Size
0.11,0.849,0.195,0.284,0.205,0.195,0.25033333333333335,"{'sillworks_tweakers': 0.28, 'harddrivesdirect_tweakers': 0.426, 'harddrivesdirect_sillworks': 0.228, 'usapartsdirect_sillworks': 0.154, 'usapartsdirect_harddrivesdirect': 0.173, 'usapartsdirect_tweakers': 0.443}",usapartsdirect_12501497-sillworks_4101068,False,disagreement,13
0.202,0.877,0.328,0.4878333333333334,0.206,0.328,0.2555,"{'sillworks_tweakers': 0.643, 'harddrivesdirect_tweakers': 0.663, 'harddrivesdirect_sillworks': 0.34, 'usapartsdirect_sillworks': 0.262, 'usapartsdirect_harddrivesdirect': 0.307, 'usapartsdirect_tweakers': 0.712}",usapartsdirect_17297499-harddrivesdirect_15568603,False,disagreement,14
0.495,0.78,0.606,0.6519999999999999,0.207,0.606,0.25766666666666665,"{'sillworks_tweakers': 0.702, 'harddrivesdirect_tweakers': 0.698, 'harddrivesdirect_sillworks': 0.586, 'usapartsdirect_sillworks': 0.587, 'usapartsdirect_harddrivesdirect': 0.598, 'usapartsdirect_tweakers': 0.741}",harddrivesdirect_13722392-sillworks_12370117,False,disagreement,15
0.509,0.804,0.624,0.665,0.208,0.624,0.26066666666666666,"{'sillworks_tweakers': 0.709, 'harddrivesdirect_tweakers': 0.719, 'harddrivesdirect_sillworks': 0.624, 'usapartsdirect_sillworks': 0.6, 'usapartsdirect_harddrivesdirect': 0.597, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_2237517-sillworks_5984769,False,disagreement,16
0.648,0.788,0.711,0.6963333333333334,0.208,0.711,0.26049999999999995,"{'sillworks_tweakers': 0.634, 'harddrivesdirect_tweakers': 0.648, 'harddrivesdirect_sillworks': 0.722, 'usapartsdirect_sillworks': 0.721, 'usapartsdirect_harddrivesdirect': 0.712, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_15060760-harddrivesdirect_5480631,True,disagreement,17
0.804,0.742,0.772,0.751,0.209,0.772,0.26466666666666666,"{'sillworks_tweakers': 0.713, 'harddrivesdirect_tweakers': 0.698, 'harddrivesdirect_sillworks': 0.786, 'usapartsdirect_sillworks': 0.793, 'usapartsdirect_harddrivesdirect': 0.775, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_7377519-sillworks_14580947,False,disagreement,18
0.623,0.854,0.721,0.7166666666666667,0.21,0.721,0.26500000000000007,"{'sillworks_tweakers': 0.702, 'harddrivesdirect_tweakers': 0.698, 'harddrivesdirect_sillworks': 0.75, 'usapartsdirect_sillworks': 0.711, 'usapartsdirect_harddrivesdirect': 0.698, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_12961750-harddrivesdirect_2416373,True,disagreement,19
0.734,0.785,0.759,0.7465,0.214,0.759,0.2776666666666667,"{'sillworks_tweakers': 0.709, 'harddrivesdirect_tweakers': 0.725, 'harddrivesdirect_sillworks': 0.779, 'usapartsdirect_sillworks': 0.765, 'usapartsdirect_harddrivesdirect': 0.749, 'usapartsdirect_tweakers': 0.752}",harddrivesdirect_5613708-sillworks_1853356,False,disagreement,20
0.818,0.738,0.776,0.7291666666666666,0.214,0.776,0.2778333333333333,"{'sillworks_tweakers': 0.599, 'harddrivesdirect_tweakers': 0.663, 'harddrivesdirect_sillworks': 0.806, 'usapartsdirect_sillworks': 0.817, 'usapartsdirect_harddrivesdirect': 0.782, 'usapartsdirect_tweakers': 0.708}",usapartsdirect_547979-harddrivesdirect_4386614,False,disagreement,21
0.884,0.723,0.796,0.7695,0.237,0.796,0.30350000000000005,"{'sillworks_tweakers': 0.713, 'harddrivesdirect_tweakers': 0.719, 'harddrivesdirect_sillworks': 0.813, 'usapartsdirect_sillworks': 0.842, 'usapartsdirect_harddrivesdirect': 0.789, 'usapartsdirect_tweakers': 0.741}",harddrivesdirect_10064860-sillworks_13889085,False,disagreement,22
0.947,0.576,0.716,0.7141666666666665,0.237,0.716,0.304,"{'sillworks_tweakers': 0.698, 'harddrivesdirect_tweakers': 0.691, 'harddrivesdirect_sillworks': 0.719, 'usapartsdirect_sillworks': 0.711, 'usapartsdirect_harddrivesdirect': 0.725, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_11640098-harddrivesdirect_4720693,False,disagreement,23
0.93,0.673,0.781,0.7616666666666667,0.292,0.781,0.3755,"{'sillworks_tweakers': 0.713, 'harddrivesdirect_tweakers': 0.719, 'harddrivesdirect_sillworks': 0.796, 'usapartsdirect_sillworks': 0.804, 'usapartsdirect_harddrivesdirect': 0.786, 'usapartsdirect_tweakers': 0.752}",usapartsdirect_15214887-harddrivesdirect_12515242,True,disagreement,24
0.893,0.726,0.801,0.7679999999999999,0.284,0.801,0.34800000000000003,"{'sillworks_tweakers': 0.698, 'harddrivesdirect_tweakers': 0.705, 'harddrivesdirect_sillworks': 0.828, 'usapartsdirect_sillworks': 0.831, 'usapartsdirect_harddrivesdirect': 0.805, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_14528116-sillworks_16367344,True,disagreement,25
0.88,0.744,0.806,0.7760000000000001,0.384,0.806,0.442,"{'sillworks_tweakers': 0.702, 'harddrivesdirect_tweakers': 0.725, 'harddrivesdirect_sillworks': 0.834, 'usapartsdirect_sillworks': 0.841, 'usapartsdirect_harddrivesdirect': 0.802, 'usapartsdirect_tweakers': 0.752}",usapartsdirect_7867387-sillworks_10893590,True,disagreement,26
0.853,0.779,0.814,0.7806666666666667,0.327,0.814,0.4133333333333334,"{'sillworks_tweakers': 0.717, 'harddrivesdirect_tweakers': 0.725, 'harddrivesdirect_sillworks': 0.837, 'usapartsdirect_sillworks': 0.838, 'usapartsdirect_harddrivesdirect': 0.826, 'usapartsdirect_tweakers': 0.741}",usapartsdirect_13687511-sillworks_6683223,True,disagreement,27
0.865,0.737,0.796,0.7318333333333333,0.42,0.796,0.5178333333333334,"{'sillworks_tweakers': 0.603, 'harddrivesdirect_tweakers': 0.618, 'harddrivesdirect_sillworks': 0.829, 'usapartsdirect_sillworks': 0.857, 'usapartsdirect_harddrivesdirect': 0.811, 'usapartsdirect_tweakers': 0.673}",harddrivesdirect_6340908-tweakers_3394690,False,disagreement,28
