addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
48269,0.9858708487849345,0.7816901408450704,0.972,0.802,"Counter({2: 500, 3: 190, 4: 125, 5: 68, 6: 51, 7: 32, 9: 14, 8: 10, 10: 7, 14: 4, 11: 4, 13: 4, 12: 3, 15: 3, 18: 1, 22: 1, 19: 1, 16: 1})",815,204,9,1,0,0
48476,0.985951811205545,0.7914241960183769,0.974,0.813,"Counter({2: 513, 3: 200, 4: 125, 5: 79, 6: 50, 7: 29, 9: 9, 13: 6, 14: 5, 8: 5, 11: 5, 10: 3, 30: 1, 18: 1, 29: 1})",838,194,5,0,1,0
47293,0.9860021567673863,0.7558997050147492,0.958,0.734,"Counter({2: 412, 3: 148, 4: 130, 5: 65, 6: 42, 7: 37, 9: 17, 8: 15, 11: 11, 10: 9, 13: 7, 14: 6, 12: 4, 16: 4, 15: 3, 24: 2, 20: 2, 22: 2, 18: 1, 34: 1, 35: 1, 19: 1, 40: 1, 21: 1, 17: 1, 1: 1})",691,233,9,0,4,0
48204,0.987781097004398,0.8116405500479694,0.973,0.814,"Counter({2: 507, 3: 190, 4: 134, 5: 79, 6: 49, 7: 35, 9: 16, 10: 9, 8: 8, 13: 5, 11: 4, 15: 3, 14: 3, 18: 1, 22: 1, 29: 1, 12: 1})",831,215,8,0,4,0
47940,0.9873174801835628,0.7998683344305464,0.968,0.787,"Counter({2: 499, 3: 181, 4: 130, 5: 71, 6: 53, 7: 33, 9: 13, 8: 12, 10: 9, 13: 6, 12: 4, 14: 3, 11: 2, 23: 2, 18: 1, 17: 1, 24: 1, 33: 1, 30: 1, 21: 1, 15: 1, 1: 1})",811,215,6,0,4,0
48260,0.983091587235806,0.7322834645669292,0.969,0.777,"Counter({2: 436, 3: 176, 4: 129, 5: 72, 6: 48, 7: 29, 9: 15, 11: 7, 13: 6, 10: 5, 8: 5, 14: 4, 18: 2, 12: 2, 17: 1, 23: 1, 31: 1, 16: 1, 1: 1})",742,199,5,0,2,0
48259,0.9867382249943015,0.7930142302716688,0.973,0.811,"Counter({2: 480, 3: 179, 4: 136, 5: 85, 6: 54, 7: 29, 9: 10, 10: 8, 8: 8, 13: 7, 11: 4, 14: 3, 12: 2, 23: 1, 29: 1, 17: 1, 21: 1})",795,214,7,0,2,0
