P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.11,0.0,0.832,0.0,0.194,0.0,0.26899999999999996,0.0,0.204,0.0,0.25199999999999995,0.0,0.194,0.0
0.125,0.0,0.879,0.0,0.219,0.0,0.41,0.0,0.204,0.0,0.2525,0.0,0.219,0.0
0.313,0.0,0.85,0.0,0.457,0.0,0.5265,0.0,0.205,0.0,0.25466666666666665,0.0,0.457,0.0
0.464,0.0,0.83,0.0,0.595,0.0,0.6426666666666666,0.0,0.206,0.0,0.2583333333333333,0.0,0.595,0.0
0.49,0.0,0.84,0.0,0.619,0.0,0.6656666666666666,0.0,0.206,0.0,0.2593333333333333,0.0,0.619,0.0
0.439,0.0,0.864,0.0,0.582,0.0,0.6398333333333331,0.0,0.207,0.0,0.2673333333333333,0.0,0.582,0.0
0.408,0.0,0.854,0.0,0.552,0.0,0.623,0.0,0.207,0.0,0.26433333333333336,0.0,0.552,0.0
0.396,0.0,0.847,0.0,0.54,0.0,0.6181666666666666,0.0,0.209,0.0,0.27699999999999997,0.0,0.54,0.0
0.511,0.0,0.845,0.0,0.637,0.0,0.6755,0.0,0.211,0.0,0.2793333333333333,0.0,0.637,0.0
0.426,0.0,0.855,0.0,0.569,0.0,0.6381666666666668,0.0,0.217,0.0,0.3443333333333333,0.0,0.569,0.0
0.459,0.0,0.857,0.0,0.598,0.0,0.6541666666666667,0.0,0.218,0.0,0.3446666666666667,0.0,0.598,0.0
0.452,0.0,0.871,0.0,0.595,0.0,0.6525,0.0,0.222,0.0,0.41133333333333333,0.0,0.595,0.0
0.605,0.0,0.842,0.0,0.704,0.0,0.7154999999999999,0.0,0.223,0.0,0.41933333333333334,0.0,0.704,0.0
0.643,0.0,0.847,0.0,0.731,0.0,0.7136666666666667,0.0,0.227,0.0,0.431,0.0,0.731,0.0
