id;cluster_id;title;description;brand;Part Number;Sub-Category;Category;Generation;Capacity;Spindle Speed;Manufacturer;price
13527384;449673; Adata HV100 1TB Zwart - Reviews @NL Tweakers@NL;;Adata;AHV100-1TU3-CBK;;External hard drives;Adata HV100;;;;
11479941;1093996; Corsair Carbide 300R - Reviews @NL pauldegroot Userreviews Tweakers@NL;;Corsair;CC-9011014-WW;Carbide;Enclosures;Corsair Carbide 300R;;;;
11011950;364843; HP 589715-B21 - Prijzen @NL Tweakers@NL;;HP;589715-B21;;Processors;HP Intel Xeon E5640;;;;€ 1.234,93
16920343;9419302; Xqisit H 100 (Zwart) - Vraag & Aanbod @NL Tweakers@NL;;Xqisit;;;Headphones;Xqisit H 100;;;;
4314444;1318322; Patriot Memory Viper USB 3.1 64GB Rood - Specificaties @NL Tweakers@NL;;Patriot Memory;;;Usb-sticks;Patriot Memory Viper USB 3.1;;;;
5663817;168330; Scythe Big Shuriken 2 Rev. B - Prijzen @NL Tweakers@NL;;Scythe;;;Processorkoeling;Scythe Big Shuriken 2 Rev. B;;;;€ 61,94
12026234;9493471; Cisco UCS-MR-2X082RX-B - Prijzen @NL Tweakers@NL;;Cisco;UCS-MR-2X082RX-B;;Memory internal;Cisco UCS-MR-2X082RX-B;;;;€ 253,08
12591669;106038; HP Envy 32 Media Display (N9C43AA) Zwart - Specificaties @NL Tweakers@NL;;HP;;Envy;Monitors;HP Envy 32 Media Display (N9C43AA) Zwart;;;;
3670533;1084859; Huawei P8 Case Bruin - Prijzen @NL Tweakers@NL;;Huawei;;;Smartphonehoesjes;Huawei P8 Case;;;;€ 20,33
9796580;11245163; HP Intel Xeon X5460 - Prijzen @NL Tweakers@NL;;HP;446085-B21;;Processors;HP Intel Xeon X5460;;;;
1351711;348732; Eizo Flexscan EV2451 Wit - Prijzen @NL Tweakers@NL;;Eizo;EV2451-WT;Flexscan;Monitors;Eizo Flexscan EV2451;;;;€ 416,69
6423403;655634; Joby BH1 - Prijzen @NL Tweakers@NL;;Joby;;;Camera-accessories;Joby BH1;;;;€ 54,45
14976274;253327; Chieftec IX-01B-OP - Prijzen @NL Tweakers@NL;;Chieftec;IX-01B, IX-01B-OP;;Enclosures;Chieftec IX-01B-OP;;;;€ 40,44
12984216;15566555; Acer KH.1600B.004, 160GB - Specificaties @NL KH.1600B.004 Tweakers@NL;;Acer;;;Internal hard drives;Acer KH.1600B.004, 160GB;;;;
11236413;711544; Wahl Chrome Pro - Reviews @NL Tweakers@NL;;Wahl;;;Razors;Wahl Chrome Pro;;;;
14488349;171994; HP 480942-002, 1TB - Prijzen @NL 480942-002 Tweakers@NL;;HP;480942-002;;Internal hard drives;HP 3.5 1TB SATA;;;;€ 297,32
5412821;907414; Logitech Bluetooth Multi-Device Keyboard K480 (Qwerty) Zwart - Reviews @NL BamSlam_ Userreviews Tweakers@NL;;Logitech;920-006366;;Keyboards;Logitech Bluetooth Multi-Device Keyboard K480;;;;
