source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size
yellow_pages_1_24121,yelp_2_1126,yellow_pages_1__yelp_2,True,bootstrap,,,,,,,,,,,
yellow_pages_1_27838,yelp_3_9917,yellow_pages_1__yelp_3,True,bootstrap,,,,,,,,,,,
yellow_pages_1_3175,zomato_2_3513,yellow_pages_1__zomato_2,True,bootstrap,,,,,,,,,,,
yelp_2_2152,yelp_3_1852,yelp_2__yelp_3,True,bootstrap,,,,,,,,,,,
yelp_2_592,zomato_2_596,yelp_2__zomato_2,True,bootstrap,,,,,,,,,,,
yelp_3_1950,zomato_2_2587,yelp_3__zomato_2,True,bootstrap,,,,,,,,,,,
yellow_pages_1_2003,yelp_2_1384,yellow_pages_1__yelp_2,False,bootstrap,,,,,,,,,,,
yellow_pages_1_13196,yelp_3_4763,yellow_pages_1__yelp_3,False,bootstrap,,,,,,,,,,,
yellow_pages_1_2003,zomato_2_1730,yellow_pages_1__zomato_2,False,bootstrap,,,,,,,,,,,
yelp_2_915,yelp_3_2843,yelp_2__yelp_3,False,bootstrap,,,,,,,,,,,
yelp_2_3816,zomato_2_1469,yelp_2__zomato_2,False,bootstrap,,,,,,,,,,,
yelp_3_2131,zomato_2_6279,yelp_3__zomato_2,False,bootstrap,,,,,,,,,,,
yellow_pages_1_18353,yelp_2_1919,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,
yelp_2_869,zomato_2_1645,yelp_2__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yelp_2_1831,zomato_2_4264,yelp_2__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yelp_2_566,yelp_3_5125,yelp_2__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yellow_pages_1_4375,yelp_3_1931,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,
yelp_2_987,yelp_3_8277,yelp_2__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,
yellow_pages_1_6352,yelp_3_2943,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,
yellow_pages_1_15633,yelp_3_5788,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,
yellow_pages_1_23587,yelp_3_2816,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,
yellow_pages_1_23551,yelp_3_8339,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,
yellow_pages_1_11884,yelp_3_6091,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yelp_2_1284,yelp_3_9603,yelp_2__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yellow_pages_1_16494,yelp_3_5181,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,
yellow_pages_1_21929,yelp_3_7107,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,
yellow_pages_1_27108,yelp_3_9128,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, False, True)",,
yellow_pages_1_24069,yelp_2_1018,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,
yellow_pages_1_2240,yelp_2_3799,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,
yellow_pages_1_22457,yelp_3_7833,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,
yellow_pages_1_4358,yelp_2_2273,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,
yellow_pages_1_1513,yelp_2_3524,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,
yellow_pages_1_26724,yelp_3_9746,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,
yellow_pages_1_19020,yelp_3_7055,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yellow_pages_1_9356,yelp_3_3911,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yelp_2_1215,zomato_2_2232,yelp_2__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yellow_pages_1_26602,yelp_3_9348,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.1111111111111111,9.0
yellow_pages_1_8310,yelp_3_2640,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_24325,yelp_3_8261,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_7774,yelp_3_2958,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.2,5.0
yellow_pages_1_24835,yelp_2_1084,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, False, True)",0.25,4.0
yelp_2_1238,yelp_3_3522,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0
yellow_pages_1_12403,yelp_3_4025,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, True)",1.0,0.0
yellow_pages_1_3475,yelp_3_6389,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_27610,yelp_3_9384,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.25,4.0
yelp_3_1618,zomato_2_4291,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.2,5.0
yellow_pages_1_23741,zomato_2_1756,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yelp_2_1446,yelp_3_8594,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_14439,yelp_3_4192,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_16816,yelp_3_5196,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.3333333333333333,3.0
yellow_pages_1_19976,yelp_3_9407,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0
yellow_pages_1_27474,yelp_3_9472,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, False, False, False)",0.1111111111111111,9.0
yelp_2_1251,zomato_2_1640,yelp_2__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.25,4.0
yelp_2_1751,yelp_3_9454,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_17375,yelp_3_5267,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_26391,yelp_3_8529,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0
yellow_pages_1_19075,yelp_3_6945,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.2,5.0
yellow_pages_1_17723,yelp_3_6039,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yelp_3_2667,zomato_2_573,yelp_3__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yellow_pages_1_28431,yelp_3_9594,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.5,2.0
yellow_pages_1_20612,yelp_3_7788,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.25,4.0
yellow_pages_1_19299,yelp_3_6320,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, False, True)",0.2,5.0
yellow_pages_1_18418,yelp_3_6919,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0
yellow_pages_1_28564,yelp_3_9589,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_19472,yelp_3_6239,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_7568,yelp_3_2564,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_4852,yelp_3_1781,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, False, True)",0.09090909090909091,11.0
yellow_pages_1_17338,yelp_3_5127,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.1111111111111111,9.0
yellow_pages_1_142,zomato_2_7009,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0
yellow_pages_1_20889,yelp_3_7865,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.3333333333333333,3.0
yellow_pages_1_3611,yelp_3_1523,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0
yellow_pages_1_26720,yelp_3_9807,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0
yellow_pages_1_4128,yelp_3_1081,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.125,8.0
yelp_3_7981,zomato_2_1533,yelp_3__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0
yellow_pages_1_23214,yelp_3_7202,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0
yelp_2_950,zomato_2_1645,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0
yellow_pages_1_4523,zomato_2_3924,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yellow_pages_1_14801,yelp_3_5524,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_26840,yelp_3_9615,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_18525,yelp_3_6867,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_23013,yelp_3_7211,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_26275,yelp_2_1262,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.3333333333333333,3.0
yellow_pages_1_26180,zomato_2_1677,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_28656,yelp_3_9763,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_10313,yelp_3_3909,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.14285714285714285,7.0
yellow_pages_1_17494,zomato_2_688,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yellow_pages_1_9635,yelp_3_3659,yellow_pages_1__yelp_3,False,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0
yellow_pages_1_27542,yelp_3_9104,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_14258,yelp_3_4230,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.3333333333333333,3.0
yelp_2_1667,yelp_3_1800,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yelp_2_1695,zomato_2_3930,yelp_2__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0
yellow_pages_1_27768,yelp_3_9667,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.25,4.0
yellow_pages_1_21597,yelp_3_7360,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0
yelp_2_3596,zomato_2_6279,yelp_2__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0
yellow_pages_1_25660,yelp_2_1038,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0
yellow_pages_1_26951,yelp_3_9047,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, False)",1.0,0.0
yellow_pages_1_11682,yelp_3_3203,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0
yellow_pages_1_15978,yelp_3_5704,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yelp_3_8283,zomato_2_1966,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0
yellow_pages_1_4008,yelp_3_1261,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, False, False, True)",0.14285714285714285,7.0
yelp_2_792,zomato_2_1615,yelp_2__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yellow_pages_1_1586,yelp_2_3957,yellow_pages_1__yelp_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_24252,zomato_2_1841,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_5302,yelp_3_1006,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.3333333333333333,3.0
yellow_pages_1_19834,yelp_3_6162,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.5,2.0
yellow_pages_1_3277,yelp_3_1643,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.08333333333333333,12.0
yellow_pages_1_3499,yelp_3_1958,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_25365,yelp_2_1274,yellow_pages_1__yelp_2,False,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, False)",0.25,4.0
yellow_pages_1_15330,yelp_3_5456,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yellow_pages_1_19798,yelp_3_6089,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yellow_pages_1_28729,yelp_3_9433,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0
yellow_pages_1_19422,yelp_3_6555,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yelp_3_8527,zomato_2_1968,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yellow_pages_1_4493,yelp_2_1801,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.3333333333333333,3.0
yellow_pages_1_27094,yelp_3_9550,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, True)",0.3333333333333333,3.0
yellow_pages_1_10211,yelp_3_3503,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0
yellow_pages_1_7436,yelp_3_2266,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, False, True)",0.25,4.0
yellow_pages_1_16559,yelp_3_5688,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_9346,yelp_3_3703,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.5,2.0
yellow_pages_1_27355,yelp_3_8964,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.3333333333333333,3.0
yellow_pages_1_24697,zomato_2_1788,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_764,yelp_2_3428,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.3333333333333333,3.0
yellow_pages_1_28157,yelp_3_9588,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0
yellow_pages_1_26461,yelp_3_9356,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_3135,yelp_3_1616,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.14285714285714285,7.0
yellow_pages_1_14656,yelp_3_4648,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_3395,yelp_2_2087,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0
yellow_pages_1_20438,yelp_3_6769,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0
yellow_pages_1_23163,yelp_3_7181,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_24252,zomato_2_1931,yellow_pages_1__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0
yellow_pages_1_3384,yelp_3_1859,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.3333333333333333,3.0
yellow_pages_1_13512,yelp_3_4646,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.3333333333333333,3.0
yellow_pages_1_3277,yelp_3_1102,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_22801,yelp_3_7850,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0
yellow_pages_1_22941,yelp_3_7522,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, False)",1.0,0.0
yelp_3_8259,zomato_2_2226,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.25,4.0
yellow_pages_1_26216,yelp_2_1044,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, False, True)",0.2,5.0
yellow_pages_1_18948,yelp_3_6649,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, True)",1.0,0.0
yellow_pages_1_2627,zomato_2_6373,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, False, True)",0.2,5.0
yellow_pages_1_14267,yelp_3_4423,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_5384,yelp_3_1781,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0
yellow_pages_1_27457,yelp_3_9369,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.3333333333333333,3.0
yellow_pages_1_19607,yelp_3_6410,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_18147,yelp_3_6920,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0
yelp_2_1752,zomato_2_3114,yelp_2__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0
yellow_pages_1_3360,yelp_2_2360,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, True)",0.3333333333333333,3.0
yellow_pages_1_20173,yelp_3_6635,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0
yellow_pages_1_25774,yelp_3_8150,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, False)",1.0,0.0
yellow_pages_1_25655,yelp_2_1103,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0
yelp_2_1595,zomato_2_4155,yelp_2__zomato_2,False,False,0.4,,,,,,1.0,0.4,"(False, True, False, False, True)",0.1111111111111111,9.0
yellow_pages_1_14083,yelp_3_4527,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.3333333333333333,3.0
yellow_pages_1_6008,yelp_3_2176,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.2,5.0
