P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.34,0.0,0.967,0.0,0.503,0.0,0.757,0.0,0.482,0.0,0.717,0.0,0.503,0.0
0.355,0.0,0.967,0.0,0.519,0.0,0.7608333333333334,0.0,0.483,0.0,0.7178333333333334,0.0,0.519,0.0
0.557,0.0,0.932,0.0,0.697,0.0,0.8361666666666667,0.0,0.481,0.0,0.7116666666666666,0.0,0.697,0.0
0.468,0.0,0.897,0.0,0.615,0.0,0.8386666666666667,0.0,0.482,0.0,0.7183333333333333,0.0,0.615,0.0
0.645,0.0,0.886,0.0,0.746,0.0,0.8253333333333334,0.0,0.482,0.0,0.7148333333333333,0.0,0.746,0.0
0.439,0.0,0.913,0.0,0.593,0.0,0.8498333333333333,0.0,0.486,0.0,0.7281666666666666,0.0,0.593,0.0
0.914,0.0,0.871,0.0,0.892,0.0,0.9008333333333334,0.0,0.483,0.0,0.7173333333333334,0.0,0.892,0.0
0.863,0.0,0.796,0.0,0.828,0.0,0.8203333333333332,0.0,0.485,0.0,0.726,0.0,0.828,0.0
0.962,0.0,0.798,0.0,0.873,0.0,0.8556666666666666,0.0,0.485,0.0,0.7256666666666668,0.0,0.873,0.0
0.918,0.0,0.785,0.0,0.847,0.0,0.8391666666666667,0.0,0.49,0.0,0.7383333333333333,0.0,0.847,0.0
0.989,0.0,0.712,0.0,0.828,0.0,0.7933333333333333,0.0,0.49,0.0,0.738,0.0,0.828,0.0
0.948,0.0,0.734,0.0,0.827,0.0,0.7653333333333334,0.0,0.495,0.0,0.7416666666666666,0.0,0.827,0.0
0.977,0.0,0.784,0.0,0.87,0.0,0.8488333333333333,0.0,0.495,0.0,0.7416666666666666,0.0,0.87,0.0
0.991,0.0,0.763,0.0,0.862,0.0,0.8388333333333334,0.0,0.518,0.0,0.7559999999999999,0.0,0.862,0.0
0.99,0.0,0.739,0.0,0.846,0.0,0.8245,0.0,0.518,0.0,0.7559999999999999,0.0,0.846,0.0
0.99,0.0,0.773,0.0,0.869,0.0,0.8466666666666667,0.0,0.57,0.0,0.7803333333333334,0.0,0.869,0.0
0.941,0.0,0.791,0.0,0.86,0.0,0.8345000000000001,0.0,0.552,0.0,0.7756666666666666,0.0,0.86,0.0
0.918,0.0,0.811,0.0,0.861,0.0,0.8475,0.0,0.627,0.0,0.7895,0.0,0.861,0.0
0.956,0.0,0.787,0.0,0.863,0.0,0.8294999999999999,0.0,0.626,0.0,0.7893333333333333,0.0,0.863,0.0
0.913,0.0,0.823,0.0,0.866,0.0,0.8531666666666667,0.0,0.697,0.0,0.8153333333333332,0.0,0.866,0.0
0.936,0.0,0.785,0.0,0.854,0.0,0.8026666666666668,0.0,0.697,0.0,0.8154999999999998,0.0,0.854,0.0
0.947,0.0,0.798,0.0,0.867,0.0,0.8231666666666667,0.0,0.763,0.0,0.8373333333333334,0.0,0.905,0.0
0.955,0.0,0.782,0.0,0.86,0.0,0.8113333333333334,0.0,0.763,0.0,0.8365,0.0,0.908,0.0
0.953,0.0,0.831,0.0,0.888,0.0,0.8701666666666666,0.0,0.816,0.0,0.8523333333333333,0.0,0.899,0.0
0.969,0.0,0.816,0.0,0.886,0.0,0.8601666666666666,0.0,0.808,0.0,0.8511666666666665,0.0,0.913,0.0
0.928,0.0,0.838,0.0,0.881,0.0,0.8598333333333333,0.0,0.828,0.0,0.8611666666666666,0.0,0.913,0.0
0.934,0.0,0.848,0.0,0.889,0.0,0.8728333333333333,0.0,0.805,0.0,0.8555,0.0,0.909,0.0
0.893,0.0,0.858,0.0,0.875,0.0,0.8798333333333334,0.0,0.824,0.0,0.8635,0.0,0.914,0.0
0.939,0.0,0.838,0.0,0.886,0.0,0.8758333333333334,0.0,0.802,0.0,0.8583333333333334,0.0,0.894,0.0
0.936,0.0,0.878,0.0,0.906,0.0,0.9135,0.0,0.828,0.0,0.8623333333333334,0.0,0.915,0.0
0.912,0.0,0.87,0.0,0.891,0.0,0.8975,0.0,0.828,0.0,0.8621666666666666,0.0,0.923,0.0
0.92,0.0,0.875,0.0,0.897,0.0,0.9058333333333334,0.0,0.854,0.0,0.8763333333333333,0.0,0.909,0.0
