addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
42598,0.9818536081506174,0.9431659436806117,0.977,0.934,"Counter({2: 2141, 3: 652, 4: 486, 5: 64, 6: 24, 9: 6, 7: 5, 8: 4, 16: 1, 10: 1})",3279,105,15,0,0,0
42671,0.9837125916899065,0.9492589618164562,0.979,0.941,"Counter({2: 2199, 3: 650, 4: 474, 5: 63, 6: 18, 7: 4, 8: 4, 9: 2, 10: 2, 16: 1, 12: 1})",3323,95,9,0,0,0
42730,0.981441610109993,0.9418664320797595,0.977,0.934,"Counter({2: 2233, 3: 651, 4: 445, 5: 51, 6: 19, 7: 3, 9: 2, 8: 2, 27: 1, 17: 1, 12: 1, 10: 1})",3329,81,5,0,0,0
42719,0.9850417846859711,0.9536855838225702,0.981,0.946,"Counter({2: 2205, 3: 656, 4: 483, 5: 58, 6: 21, 7: 4, 8: 3, 9: 2, 10: 2, 12: 1})",3344,91,6,0,0,0
42889,0.9848679148499615,0.9533931777378815,0.982,0.949,"Counter({2: 2269, 3: 626, 4: 480, 5: 49, 6: 11, 9: 2, 10: 2, 7: 2, 12: 1, 8: 1})",3375,68,3,0,0,0
42518,0.9858412907474481,0.956058394160584,0.98,0.942,"Counter({2: 2156, 3: 656, 4: 498, 5: 59, 6: 19, 7: 10, 9: 5, 10: 4, 8: 4, 11: 3, 12: 1, 13: 1})",3310,106,7,0,0,0
42520,0.9872530573847601,0.9605013846378079,0.981,0.947,"Counter({2: 2157, 3: 649, 4: 507, 5: 68, 6: 20, 7: 11, 8: 6, 9: 4, 12: 2, 10: 2})",3313,113,10,0,0,0
42159,0.9860053606584597,0.9561924561924562,0.976,0.933,"Counter({2: 2017, 3: 676, 4: 525, 5: 69, 6: 36, 7: 16, 9: 6, 11: 5, 8: 5, 10: 4, 20: 1, 12: 1, 14: 1, 18: 1})",3218,145,17,0,0,0
42592,0.9868989481592787,0.9593709043250328,0.982,0.949,"Counter({2: 2172, 3: 653, 4: 495, 5: 66, 6: 19, 7: 8, 8: 5, 9: 3, 10: 2, 12: 1, 11: 1})",3320,105,10,0,0,0
42530,0.9886668234187632,0.965021770682148,0.983,0.952,"Counter({2: 2182, 3: 643, 4: 513, 5: 68, 6: 16, 7: 10, 8: 5, 9: 4, 10: 2, 12: 1, 11: 1, 15: 1})",3338,108,12,0,0,0
42430,0.9888050907376856,0.965411781839365,0.981,0.948,"Counter({2: 2126, 3: 645, 4: 521, 5: 67, 6: 24, 7: 11, 9: 5, 10: 4, 8: 3, 11: 3, 12: 1, 18: 1})",3292,119,15,0,0,0
