addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts,heatmap
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
256203,0.9948517386603591,0.9360608851616656,0.993,0.92,"Counter({2: 1429, 3: 780, 4: 433, 5: 376, 6: 19, 7: 16, 8: 6, 9: 4, 10: 3, 26: 1, 16: 1, 21: 1, 22: 1})",3018,52,8,0,1,0,
256230,0.9953089021582172,0.9418705870973981,0.994,0.927,"Counter({2: 1463, 3: 777, 4: 426, 5: 385, 6: 29, 7: 14, 8: 6, 10: 3, 23: 1, 9: 1, 13: 1, 14: 1, 11: 1})",3051,57,7,0,1,0,
255389,0.9954853184749539,0.9432550814508589,0.992,0.908,"Counter({2: 1486, 3: 774, 4: 419, 5: 388, 6: 39, 7: 14, 8: 12, 10: 5, 9: 4, 13: 3, 12: 2, 16: 1, 37: 1, 15: 1, 18: 1, 23: 1, 20: 1, 1: 1})",3068,85,18,0,1,1,
255636,0.9956735358087281,0.9457364341085271,0.993,0.916,"Counter({2: 1480, 3: 763, 4: 425, 5: 382, 6: 31, 7: 17, 8: 15, 10: 6, 9: 4, 21: 1, 15: 1, 13: 1, 23: 1, 29: 1, 18: 1, 14: 1, 1: 1})",3051,80,9,0,1,1,
255026,0.9955730003999592,0.9432463680691701,0.991,0.905,"Counter({2: 1507, 3: 764, 4: 423, 5: 372, 6: 42, 7: 29, 8: 15, 9: 7, 10: 6, 12: 5, 18: 2, 11: 2, 13: 1, 28: 1, 41: 1, 21: 1, 15: 1, 1: 1})",3067,113,19,0,2,1,
255723,0.9956789182044634,0.9457881567973312,0.993,0.921,"Counter({2: 1493, 3: 785, 4: 422, 5: 380, 6: 40, 7: 23, 8: 8, 9: 4, 10: 2, 11: 2, 16: 1, 28: 1, 32: 1, 19: 1, 1: 1})",3081,83,13,0,1,1,
255527,0.9956834307137797,0.9455765530172202,0.993,0.918,"Counter({2: 1520, 3: 772, 4: 427, 5: 381, 6: 39, 7: 21, 8: 14, 10: 6, 9: 3, 16: 3, 12: 1, 11: 1, 21: 1, 29: 1, 26: 1, 1: 1})",3101,91,14,0,2,1,
254793,0.9958672334012316,0.9473157552409065,0.991,0.902,"Counter({2: 1515, 3: 767, 4: 424, 5: 390, 6: 46, 7: 26, 8: 16, 9: 11, 10: 7, 12: 4, 11: 4, 17: 2, 20: 1, 21: 1, 14: 1, 36: 1, 46: 1, 16: 1, 13: 1, 15: 1, 1: 1})",3097,124,26,0,3,1,
