source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,clusters_inferred_label
2_1886,1_5080,2_1,True,bootstrap,,,,,,,,,,,,
2_15825,3_10623,2_3,True,bootstrap,,,,,,,,,,,,
2_5161,4_9278,2_4,True,bootstrap,,,,,,,,,,,,
2_18231,5_8364,2_5,True,bootstrap,,,,,,,,,,,,
3_17555,1_14715,3_1,True,bootstrap,,,,,,,,,,,,
4_16989,1_15928,4_1,True,bootstrap,,,,,,,,,,,,
4_16989,3_9529,4_3,True,bootstrap,,,,,,,,,,,,
4_17469,5_4370,4_5,True,bootstrap,,,,,,,,,,,,
5_3051,1_12203,5_1,True,bootstrap,,,,,,,,,,,,
5_15922,3_18667,5_3,True,bootstrap,,,,,,,,,,,,
2_17706,1_15692,2_1,False,bootstrap,,,,,,,,,,,,
2_10010,3_13445,2_3,False,bootstrap,,,,,,,,,,,,
2_12656,4_8890,2_4,False,bootstrap,,,,,,,,,,,,
2_1055,5_10298,2_5,False,bootstrap,,,,,,,,,,,,
3_16303,1_8312,3_1,False,bootstrap,,,,,,,,,,,,
4_1020,1_9447,4_1,False,bootstrap,,,,,,,,,,,,
4_7540,3_6384,4_3,False,bootstrap,,,,,,,,,,,,
4_12409,5_13549,4_5,False,bootstrap,,,,,,,,,,,,
5_7203,1_9447,5_1,False,bootstrap,,,,,,,,,,,,
5_17910,3_17533,5_3,False,bootstrap,,,,,,,,,,,,
2_6302,4_11033,2_4,False,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,
2_2796,5_2178,2_5,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,
2_12005,3_4976,2_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,
5_4014,3_13595,5_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,
2_9270,5_1231,2_5,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,
