addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
255349,0.9945838832343186,0.9322490569734972,0.99,0.885,"Counter({2: 1404, 3: 762, 4: 431, 5: 372, 6: 24, 7: 15, 8: 9, 9: 3, 10: 2, 30: 1, 27: 1, 42: 1, 32: 1, 47: 1})",2969,58,7,0,0,0
254811,0.9947490492953601,0.932669082125604,0.989,0.883,"Counter({2: 1485, 3: 732, 4: 429, 5: 369, 6: 32, 7: 25, 8: 20, 9: 8, 10: 7, 11: 6, 15: 2, 17: 2, 12: 2, 19: 1, 30: 1, 16: 1, 27: 1, 18: 1, 53: 1})",3015,110,25,0,2,0
251373,0.9942396359195299,0.9217889164956248,0.978,0.788,"Counter({2: 1407, 3: 721, 4: 397, 5: 346, 6: 54, 7: 33, 8: 20, 9: 11, 10: 8, 12: 5, 16: 5, 13: 3, 11: 3, 22: 3, 19: 2, 14: 2, 21: 1, 204: 1, 31: 1, 94: 1, 17: 1, 99: 1, 25: 1, 35: 1, 20: 1, 15: 1, 51: 1, 1: 1})",2872,160,45,0,4,0
254660,0.994502473886751,0.9297964095878046,0.988,0.87,"Counter({2: 1491, 3: 743, 4: 423, 5: 358, 6: 36, 7: 20, 8: 11, 9: 10, 10: 5, 11: 2, 76: 1, 17: 1, 43: 1, 27: 1, 18: 1, 48: 1})",3015,90,23,0,0,0
253576,0.9958513423983343,0.9461010349421048,0.987,0.864,"Counter({2: 1498, 3: 752, 4: 429, 5: 363, 6: 49, 7: 31, 8: 23, 10: 9, 9: 8, 17: 2, 14: 2, 20: 2, 12: 2, 11: 2, 15: 2, 18: 1, 112: 1, 33: 1, 41: 1, 16: 1, 62: 1, 13: 1, 1: 1})",3043,139,35,1,6,0
254211,0.9952165720602177,0.9383304594786489,0.988,0.873,"Counter({2: 1533, 3: 748, 4: 423, 5: 366, 6: 38, 7: 25, 8: 18, 9: 10, 10: 7, 16: 3, 13: 3, 12: 2, 11: 2, 79: 1, 25: 1, 37: 1, 20: 1, 49: 1, 22: 1, 15: 1, 14: 1, 1: 1})",3071,116,38,0,3,0
254886,0.995441099158055,0.9427924379677038,0.99,0.888,"Counter({2: 1489, 3: 755, 4: 438, 5: 382, 6: 35, 7: 16, 8: 12, 9: 6, 10: 2, 11: 2, 28: 1, 49: 1, 16: 1, 12: 1, 41: 1, 29: 1, 55: 1, 14: 1})",3064,81,15,0,0,0
