P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.085,0.926,0.155,0.155,0.271,0.271
0.353,0.865,0.501,0.501,0.5767999999999999,0.5767999999999999
0.391,0.74,0.511,0.511,0.6043999999999999,0.6043999999999999
0.37,0.73,0.491,0.491,0.5954,0.5954
0.449,0.782,0.571,0.571,0.6393000000000001,0.6393000000000001
0.68,0.658,0.669,0.669,0.6523,0.6523
0.701,0.631,0.664,0.664,0.6428,0.6428
0.683,0.645,0.664,0.664,0.6255,0.6255
0.705,0.679,0.692,0.692,0.6645,0.6645
0.928,0.598,0.727,0.727,0.6897,0.6897
0.924,0.563,0.699,0.699,0.6468,0.6468
0.939,0.502,0.655,0.655,0.5784,0.5784
0.938,0.698,0.8,0.8,0.7761,0.7761
0.881,0.64,0.741,0.741,0.7055,0.7055
0.902,0.771,0.832,0.832,0.8078000000000001,0.8078000000000001
0.903,0.792,0.844,0.844,0.8396000000000001,0.8396000000000001
0.864,0.832,0.847,0.847,0.8433999999999999,0.8433999999999999
0.866,0.798,0.831,0.831,0.8203999999999999,0.8203999999999999
0.889,0.798,0.841,0.841,0.8375999999999999,0.8375999999999999
0.86,0.817,0.838,0.838,0.8316000000000001,0.8316000000000001
0.881,0.75,0.81,0.81,0.8045,0.8045
0.755,0.824,0.788,0.82,0.7789,0.8148
0.765,0.85,0.805,0.796,0.8029999999999999,0.7969
0.715,0.863,0.782,0.817,0.7796999999999998,0.818
0.71,0.888,0.789,0.793,0.7947,0.7975
0.728,0.882,0.798,0.791,0.7992,0.7961000000000001
0.796,0.869,0.831,0.816,0.8284,0.8187000000000001
0.854,0.833,0.844,0.846,0.8431000000000001,0.8457999999999999
0.877,0.832,0.854,0.872,0.8531000000000001,0.875
0.949,0.803,0.87,0.874,0.8677999999999999,0.8745999999999998
0.905,0.831,0.867,0.913,0.8661,0.9130999999999998
0.877,0.831,0.854,0.895,0.8541000000000001,0.8967
0.89,0.84,0.864,0.88,0.8658999999999999,0.8827
0.908,0.808,0.855,0.899,0.8513,0.9018999999999998
0.835,0.866,0.85,0.896,0.8491,0.8995
0.897,0.843,0.869,0.826,0.8648999999999999,0.8258000000000001
