P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_macro_one_lab,F1_model_macro_one_boost
0.051,0.914,0.096,0.096,0.10200000000000001,0.10200000000000001
0.064,0.897,0.119,0.119,0.13940000000000002,0.13940000000000002
0.169,0.859,0.282,0.282,0.3981,0.3981
0.127,0.851,0.221,0.221,0.29900000000000004,0.29900000000000004
0.227,0.706,0.343,0.343,0.4949,0.4949
0.715,0.689,0.702,0.702,0.6759999999999999,0.6759999999999999
0.8,0.698,0.745,0.745,0.7227,0.7227
0.853,0.683,0.759,0.759,0.7381,0.7381
0.931,0.585,0.718,0.718,0.6557999999999999,0.6557999999999999
0.928,0.499,0.649,0.649,0.5768,0.5768
0.947,0.505,0.659,0.659,0.5841999999999999,0.5841999999999999
0.946,0.544,0.69,0.69,0.627,0.627
0.935,0.729,0.819,0.819,0.787,0.787
0.97,0.597,0.739,0.739,0.7242,0.7242
0.971,0.644,0.774,0.774,0.7569,0.7569
0.978,0.631,0.767,0.767,0.7278,0.7278
0.991,0.499,0.664,0.664,0.6284000000000001,0.6284000000000001
0.979,0.637,0.772,0.772,0.7531,0.7531
0.962,0.7,0.81,0.81,0.8020000000000002,0.8020000000000002
0.964,0.697,0.809,0.809,0.8,0.8
0.97,0.702,0.814,0.814,0.8019000000000001,0.8019000000000001
0.977,0.646,0.778,0.76,0.7449,0.7518999999999999
0.959,0.708,0.814,0.876,0.8013999999999999,0.8804000000000001
0.921,0.744,0.823,0.88,0.8160999999999999,0.8817999999999999
0.899,0.734,0.808,0.88,0.7925,0.8801
0.918,0.731,0.814,0.867,0.7902,0.867
0.874,0.783,0.826,0.883,0.8114000000000001,0.8831999999999999
0.904,0.736,0.811,0.866,0.8073,0.8667999999999999
0.885,0.776,0.827,0.867,0.8059999999999998,0.8669
0.822,0.84,0.831,0.873,0.8294,0.873
0.742,0.851,0.793,0.834,0.8004,0.8374
0.704,0.869,0.778,0.83,0.7857999999999998,0.8382
0.782,0.849,0.814,0.803,0.8211999999999999,0.8100999999999999
0.757,0.847,0.8,0.843,0.7912,0.8533000000000002
0.777,0.865,0.819,0.827,0.8160999999999999,0.8263999999999999
0.832,0.838,0.835,0.832,0.8282999999999999,0.8331999999999999
0.828,0.842,0.835,0.873,0.8353000000000002,0.8717
0.819,0.846,0.832,0.844,0.8316000000000001,0.8461000000000001
0.803,0.851,0.826,0.857,0.8219,0.8633000000000001
0.847,0.844,0.846,0.851,0.8436999999999999,0.8513
0.779,0.881,0.827,0.875,0.8344000000000001,0.8788
0.821,0.886,0.852,0.821,0.8577,0.8318
0.8,0.885,0.84,0.875,0.8432999999999999,0.8789999999999999
0.797,0.876,0.835,0.858,0.8352999999999999,0.8633
0.806,0.866,0.834,0.852,0.8374,0.8542
0.846,0.871,0.858,0.848,0.8612,0.8533
0.811,0.862,0.836,0.873,0.8432999999999999,0.8782
0.81,0.853,0.831,0.84,0.8375999999999999,0.8491
0.883,0.835,0.858,0.852,0.8482999999999998,0.8628
0.867,0.866,0.867,0.885,0.8692,0.8870000000000001
0.876,0.882,0.879,0.88,0.8766999999999999,0.8828000000000001
0.859,0.852,0.855,0.898,0.8560000000000001,0.8958999999999999
0.846,0.86,0.853,0.866,0.8536999999999999,0.8696000000000002
0.913,0.873,0.893,0.868,0.8922000000000001,0.8722
0.901,0.849,0.874,0.91,0.8698,0.9103
0.928,0.845,0.884,0.898,0.8805000000000002,0.8981
0.911,0.855,0.882,0.913,0.8802999999999999,0.914
0.905,0.851,0.877,0.911,0.8736,0.9105000000000001
0.871,0.855,0.863,0.908,0.8615999999999999,0.9084
0.897,0.844,0.87,0.892,0.8648,0.8926999999999999
0.9,0.858,0.879,0.907,0.8742000000000001,0.9057999999999999
0.915,0.857,0.885,0.907,0.8792,0.9076000000000001
0.91,0.854,0.881,0.915,0.8757999999999999,0.9147000000000001
0.917,0.836,0.875,0.911,0.8669999999999998,0.9100999999999999
0.915,0.855,0.884,0.908,0.8779999999999999,0.9075
0.928,0.869,0.897,0.91,0.8955,0.9094
0.911,0.858,0.884,0.917,0.8792,0.9175999999999999
0.912,0.841,0.875,0.909,0.8604999999999998,0.9077999999999999
0.896,0.858,0.877,0.909,0.8699999999999999,0.9084000000000001
0.908,0.851,0.879,0.896,0.8721,0.8943999999999999
0.895,0.88,0.887,0.905,0.8856000000000002,0.9048999999999999
0.917,0.878,0.898,0.896,0.8954000000000001,0.8969999999999999
0.894,0.895,0.894,0.917,0.8926000000000001,0.917
0.891,0.896,0.893,0.901,0.8931000000000001,0.9007
0.882,0.889,0.886,0.909,0.8853,0.9073
0.87,0.901,0.885,0.906,0.8836999999999999,0.9061
0.886,0.896,0.891,0.902,0.8904,0.9014
0.809,0.889,0.847,0.913,0.8544,0.9126999999999998
0.906,0.899,0.902,0.866,0.9017,0.873
0.885,0.893,0.889,0.919,0.8869,0.9186
0.918,0.888,0.903,0.905,0.9028,0.9044000000000001
0.866,0.904,0.885,0.916,0.8853,0.9164999999999999
0.901,0.887,0.894,0.89,0.8947,0.8906000000000001
0.895,0.902,0.898,0.918,0.8975,0.9179999999999999
0.91,0.894,0.902,0.917,0.9017999999999999,0.9163
0.89,0.907,0.899,0.918,0.8982000000000001,0.9186
0.906,0.9,0.903,0.901,0.9021000000000001,0.9001000000000001
0.919,0.891,0.905,0.918,0.9042000000000001,0.917
0.896,0.9,0.898,0.916,0.8978999999999999,0.9163
0.895,0.9,0.898,0.913,0.897,0.9122
0.889,0.898,0.893,0.919,0.892,0.9183000000000001
0.873,0.901,0.887,0.913,0.8874000000000001,0.9124000000000001
0.898,0.904,0.901,0.907,0.8989,0.9079
0.879,0.911,0.895,0.917,0.8945000000000001,0.9159
0.885,0.904,0.894,0.909,0.8946000000000002,0.909
0.892,0.908,0.9,0.909,0.8996000000000001,0.9088
