P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_micro_mult_lab,F1_model_micro_mult_boost,F1_model_micro_mult_transfer_boost,F1_model_macro_one_lab,F1_model_macro_one_boost,F1_model_macro_mult_lab,F1_model_macro_mult_boost,F1_model_macro_mult_transfer_boost
0.057,0.689,0.105,0.105,0.10877402140282154,0.10877402140282154,0.10877402140282154,0.21300000000000002,0.21300000000000002,0.21880000000000002,0.21880000000000002,0.21880000000000002
0.167,0.73,0.272,0.272,0.12665860486689748,0.12665860486689748,0.12665860486689748,0.31179999999999997,0.31179999999999997,0.27159999999999995,0.27159999999999995,0.27159999999999995
0.118,0.716,0.203,0.203,0.12665860486689748,0.12665860486689748,0.12665860486689748,0.2535,0.2535,0.27159999999999995,0.27159999999999995,0.27159999999999995
0.149,0.802,0.251,0.251,0.15453909752786804,0.15453909752786804,0.15453909752786804,0.2898,0.2898,0.3155,0.3155,0.3155
0.144,0.747,0.241,0.241,0.18385121087823791,0.18385121087823791,0.18385121087823791,0.2723,0.2723,0.3438,0.3438,0.3438
0.259,0.691,0.376,0.376,0.18385121087823791,0.18385121087823791,0.18385121087823791,0.4131,0.4131,0.3438,0.3438,0.3438
0.639,0.707,0.671,0.671,0.18385121087823791,0.18385121087823791,0.18385121087823791,0.657,0.657,0.3438,0.3438,0.3438
0.355,0.893,0.508,0.508,0.19011469593200758,0.19011469593200758,0.19011469593200758,0.5122,0.5122,0.3395,0.3395,0.3395
0.372,0.673,0.479,0.479,0.19095999538186226,0.19095999538186226,0.19095999538186226,0.45730000000000004,0.45730000000000004,0.3605999999999999,0.3605999999999999,0.3605999999999999
0.681,0.773,0.724,0.724,0.2678897593051102,0.2678897593051102,0.2678897593051102,0.6867,0.6867,0.39859999999999995,0.39859999999999995,0.39859999999999995
0.545,0.723,0.622,0.622,0.2678897593051102,0.2678897593051102,0.2678897593051102,0.6034999999999999,0.6034999999999999,0.39859999999999995,0.39859999999999995,0.39859999999999995
0.6,0.685,0.64,0.64,0.2678897593051102,0.2678897593051102,0.2678897593051102,0.6027,0.6027,0.39859999999999995,0.39859999999999995,0.39859999999999995
0.348,0.652,0.454,0.454,0.26569542820347714,0.26569542820347714,0.26569542820347714,0.4746,0.4746,0.39849999999999997,0.39849999999999997,0.39849999999999997
0.715,0.593,0.649,0.649,0.2528871280451825,0.2528871280451825,0.2528871280451825,0.5702,0.5702,0.3705,0.3705,0.3705
0.623,0.64,0.631,0.631,0.4491093083549385,0.4491093083549385,0.4491093083549385,0.5818,0.5818,0.42140000000000005,0.42140000000000005,0.42140000000000005
0.808,0.557,0.66,0.66,0.45016835016835016,0.45016835016835016,0.45016835016835016,0.5838,0.5838,0.4239,0.4239,0.4239
0.799,0.569,0.664,0.664,0.45016835016835016,0.45016835016835016,0.45016835016835016,0.5862,0.5862,0.4239,0.4239,0.4239
0.689,0.601,0.642,0.642,0.5048878665899943,0.5048878665899943,0.5048878665899943,0.5892000000000001,0.5892000000000001,0.44489999999999996,0.44489999999999996,0.44489999999999996
0.534,0.734,0.618,0.618,0.4349892329397787,0.4349892329397787,0.4349892329397787,0.5817,0.5817,0.4136,0.4136,0.4136
0.536,0.732,0.619,0.619,0.49085806616208866,0.49085806616208866,0.49085806616208866,0.5826,0.5826,0.43179999999999996,0.43179999999999996,0.43179999999999996
0.534,0.734,0.618,0.618,0.4446521564961945,0.4446521564961945,0.4446521564961945,0.5817,0.5817,0.4239,0.4239,0.4239
0.534,0.734,0.618,0.834,0.4446521564961945,0.8564999488595684,0.8536310560278603,0.5817,0.8393,0.4239,0.8628,0.86
0.314,0.688,0.431,0.869,0.466508039512582,0.8599281682914315,0.8591128949264175,0.4779,0.8634000000000001,0.45330000000000004,0.8661,0.8644000000000001
0.306,0.7,0.426,0.824,0.466508039512582,0.8347238356743055,0.836650868878357,0.46290000000000003,0.8211999999999999,0.45330000000000004,0.8361000000000001,0.8375999999999999
0.314,0.687,0.431,0.765,0.466508039512582,0.7952058363731109,0.7970726607422896,0.47809999999999997,0.7550000000000001,0.45330000000000004,0.7929000000000002,0.7952
0.267,0.684,0.385,0.788,0.341641530401651,0.8246713852376137,0.8250329648037326,0.438,0.7868,0.41180000000000005,0.8331,0.8337
0.279,0.658,0.392,0.848,0.3514464220087153,0.8511330149375064,0.8491484184914841,0.469,0.8419000000000001,0.45150000000000007,0.8581,0.8574999999999999
0.271,0.654,0.383,0.803,0.34214127802926625,0.8323983859856313,0.8343967802100717,0.42510000000000003,0.7997,0.437,0.8399000000000001,0.8414999999999999
0.439,0.644,0.522,0.878,0.35167334560814467,0.8857444561774024,0.8839323467230444,0.5464,0.875,0.47170000000000006,0.8895,0.8873999999999999
0.45,0.601,0.515,0.851,0.5056305466477738,0.8921838593518321,0.8903471634208299,0.5075,0.8465,0.5559000000000001,0.8942,0.8919
0.344,0.675,0.456,0.867,0.3510819604400145,0.886655260906758,0.888272329527265,0.5027000000000001,0.8653000000000001,0.5081,0.8893999999999999,0.8906000000000001
0.708,0.715,0.711,0.883,0.3601895734597157,0.8990145173254211,0.899904671115348,0.6651,0.8812,0.5226,0.9007000000000002,0.9014
0.473,0.716,0.569,0.882,0.3601895734597157,0.901452937460518,0.903212127637019,0.5498000000000001,0.8797,0.5226,0.9029,0.9040999999999999
0.692,0.574,0.627,0.88,0.3075649294056127,0.8937913646391428,0.8961966799747847,0.5706,0.8786999999999999,0.45360000000000006,0.8959999999999999,0.8989
0.449,0.59,0.51,0.883,0.29548878844279003,0.8990492468753337,0.8996052491198122,0.484,0.8808999999999999,0.44589999999999996,0.9013,0.9022
0.707,0.577,0.636,0.878,0.29548878844279003,0.9019399978797837,0.9020438419993645,0.5776,0.8767999999999999,0.44589999999999996,0.9048000000000002,0.905
0.71,0.585,0.641,0.886,0.29548878844279003,0.8994754308960496,0.8982869379014988,0.5821000000000001,0.8846,0.44589999999999996,0.9029,0.9023
0.459,0.596,0.519,0.883,0.29548878844279003,0.9035284084852361,0.9012161297205036,0.49510000000000004,0.8825,0.44589999999999996,0.9059000000000001,0.9033
0.704,0.61,0.653,0.884,0.29548878844279003,0.9027294762356411,0.9029197849689049,0.6183000000000001,0.8827,0.44589999999999996,0.9045,0.9053000000000001
0.671,0.643,0.656,0.885,0.29544951039035844,0.9037257191380959,0.9017525225703665,0.6328,0.8828000000000001,0.4455,0.9063000000000001,0.9041000000000002
0.73,0.631,0.677,0.891,0.2879337131020197,0.8977768322518881,0.902637991312639,0.6466999999999999,0.8889000000000001,0.4298,0.9007,0.9048
0.229,0.635,0.337,0.886,0.23747534516765284,0.893467122117848,0.8987139972366883,0.4187,0.8840000000000001,0.37900000000000006,0.8972,0.9022
0.365,0.782,0.498,0.889,0.23747534516765284,0.8937552388935457,0.89385357667296,0.6247999999999999,0.8863,0.37900000000000006,0.8946,0.8943
0.29,0.732,0.415,0.873,0.23902685532775048,0.8711156393275599,0.872749465974977,0.4940999999999999,0.8695000000000002,0.3826,0.8751000000000001,0.8775000000000001
0.346,0.704,0.464,0.804,0.2364704594387476,0.8540109616342799,0.8580234639093259,0.607,0.8045,0.3904,0.8619999999999999,0.8663000000000001
0.352,0.716,0.472,0.812,0.2405633589520312,0.8430510792069538,0.8398950131233596,0.5751000000000001,0.8138,0.4248,0.851,0.8478000000000001
0.627,0.764,0.689,0.813,0.2515437631966854,0.8389483933787731,0.8358035454809648,0.7119,0.8145999999999999,0.43549999999999994,0.8462,0.8421000000000001
0.294,0.689,0.412,0.866,0.2515437631966854,0.8574550511572465,0.857397504456328,0.5287,0.8634000000000001,0.43549999999999994,0.8634999999999999,0.8628
0.611,0.653,0.631,0.876,0.23602987161093333,0.8666532985762985,0.8666200419622339,0.6354,0.8699000000000001,0.41059999999999997,0.8705,0.8705999999999999
0.572,0.647,0.607,0.889,0.23602987161093333,0.8779052065360805,0.8793797825211439,0.6109,0.8877,0.41059999999999997,0.8825000000000001,0.8835000000000001
0.611,0.645,0.627,0.891,0.23602987161093333,0.8740770709011835,0.8754549130610594,0.6287,0.8896000000000001,0.41059999999999997,0.8784000000000001,0.8798
0.618,0.704,0.659,0.883,0.23602987161093333,0.8629946311393916,0.8639029724624714,0.6833,0.8818000000000001,0.41059999999999997,0.8677000000000001,0.8690000000000001
0.524,0.721,0.607,0.88,0.22472716829408385,0.8744881244881244,0.8741938785955574,0.6348999999999999,0.8775999999999999,0.3981,0.876,0.8759
0.493,0.735,0.59,0.884,0.2217408862293036,0.8902077151335311,0.8864333947206876,0.6357999999999999,0.8817999999999999,0.394,0.8905999999999998,0.8865999999999999
0.411,0.636,0.499,0.875,0.1989061787876815,0.8961091872071706,0.8992232215862632,0.5562,0.8709,0.38570000000000004,0.8981,0.9014
0.741,0.673,0.705,0.88,0.20507887649095805,0.8797423769749421,0.8808948004836759,0.6949,0.8777000000000001,0.3896,0.883,0.8836999999999999
0.756,0.596,0.667,0.868,0.20507887649095805,0.8829120323559151,0.8833501513622604,0.6515000000000001,0.8639999999999999,0.3896,0.8837999999999999,0.884
0.687,0.641,0.664,0.879,0.20507887649095805,0.8897284051460077,0.8887303851640513,0.672,0.8764999999999998,0.3896,0.8907999999999999,0.8892999999999999
0.354,0.679,0.465,0.895,0.20507887649095805,0.8954512485752772,0.900690935340827,0.5035000000000001,0.8929,0.3896,0.8977999999999999,0.9027
0.548,0.692,0.612,0.896,0.2231666121826305,0.8973454997926171,0.8948074739341385,0.6136,0.8934000000000001,0.3961,0.8994000000000002,0.8966999999999998
0.528,0.657,0.585,0.89,0.24197995830250857,0.9047470005216485,0.9031585531116438,0.5971,0.8893000000000001,0.433,0.906,0.9037
0.572,0.646,0.607,0.881,0.2993260320134794,0.8981062165500205,0.900763358778626,0.6127,0.8775000000000001,0.47829999999999995,0.8988000000000002,0.9005000000000001
0.477,0.691,0.564,0.881,0.2993260320134794,0.9037340153452685,0.9011574311174845,0.5772999999999999,0.8767000000000001,0.47829999999999995,0.9038999999999999,0.901
0.77,0.664,0.713,0.878,0.2993260320134794,0.9003202148538373,0.9003514575149887,0.7076,0.8725000000000002,0.47829999999999995,0.8991000000000001,0.8991
0.502,0.748,0.6,0.883,0.2998438752689987,0.8939950980392157,0.8950219768987019,0.6124,0.8808999999999999,0.47969999999999996,0.8943,0.8949
0.5,0.737,0.596,0.883,0.2987464001355242,0.9005246373829853,0.8978042273753335,0.6105999999999999,0.8795999999999999,0.48149999999999993,0.9013,0.8981999999999999
0.411,0.765,0.535,0.88,0.32762700069589423,0.8947153642113855,0.8929440389294404,0.5562,0.8779999999999999,0.5136999999999999,0.8966999999999998,0.8956
0.642,0.736,0.686,0.879,0.32762700069589423,0.8928131416837781,0.8974755280783102,0.6963,0.8769,0.5136999999999999,0.8916999999999999,0.8965
0.584,0.723,0.646,0.882,0.328092389035759,0.8930971288943189,0.8937252110241025,0.6585,0.8808,0.5147999999999999,0.8945000000000001,0.8946
0.702,0.717,0.709,0.883,0.3289405805937251,0.9024490635933319,0.9025567306705001,0.7121000000000001,0.8812,0.5206999999999999,0.9028,0.9025000000000001
0.71,0.72,0.715,0.882,0.43473152391023384,0.8936257429801189,0.896389002872384,0.7181,0.8805,0.5826999999999999,0.893,0.8957
0.677,0.69,0.683,0.879,0.4356191705285387,0.8964885496183207,0.8961994278708623,0.6832,0.876,0.5838,0.8964000000000001,0.8964000000000001
0.695,0.724,0.709,0.88,0.4356191705285387,0.8926634605545892,0.8953846153846153,0.7098000000000001,0.8777000000000001,0.5838,0.8919,0.8947999999999998
0.583,0.754,0.658,0.881,0.4423758332832863,0.8876994546556252,0.8915099135739705,0.6716,0.8779999999999999,0.6078,0.8896000000000001,0.8913
0.747,0.734,0.74,0.887,0.44525105868118575,0.9032058550664881,0.9055428690056052,0.7494,0.885,0.6168,0.9029,0.9045
0.783,0.744,0.763,0.882,0.4892813806121074,0.9054151624548736,0.9071952100753586,0.7637,0.8791,0.6652,0.9059000000000001,0.9077999999999999
0.846,0.672,0.749,0.888,0.48979317754499063,0.9060095653982118,0.9046632124352331,0.7385,0.8861000000000001,0.6639999999999999,0.9054,0.9036
0.756,0.727,0.741,0.883,0.49212413700650176,0.9051125604881126,0.9075277836024324,0.7369,0.8811,0.6664,0.905,0.9075000000000001
0.52,0.767,0.62,0.883,0.49212413700650176,0.9070304302203568,0.9110784107630859,0.651,0.8808,0.6664,0.9057000000000001,0.9105999999999999
0.543,0.75,0.63,0.884,0.49212413700650176,0.90871283011021,0.9111527257594673,0.6738,0.8815000000000002,0.6664,0.9091000000000001,0.9122
0.528,0.755,0.622,0.893,0.49212413700650176,0.9100726895119418,0.913038961038961,0.6591,0.8915,0.6664,0.9113,0.9131
0.503,0.693,0.583,0.893,0.494188376753507,0.9087660290098801,0.9076456437611128,0.6201999999999999,0.8907999999999999,0.6681999999999999,0.9085000000000001,0.907
0.521,0.726,0.607,0.883,0.5515210991167812,0.9081589958158997,0.9095844643975778,0.6451,0.8803000000000001,0.6987,0.9071999999999999,0.9089
0.416,0.776,0.541,0.892,0.5515210991167812,0.9089962515618493,0.9100771959107031,0.618,0.8895,0.6987,0.9084000000000001,0.9095000000000001
0.841,0.725,0.779,0.893,0.5515210991167812,0.9102630758032649,0.9062693978895096,0.7714000000000001,0.8909,0.6987,0.9112,0.9072999999999999
0.862,0.726,0.789,0.892,0.5515210991167812,0.9099192379374613,0.907327141382869,0.7815000000000001,0.8896,0.6987,0.9103999999999999,0.9081999999999999
0.853,0.818,0.835,0.892,0.518457639887679,0.9074515493833558,0.9068657954781165,0.8304,0.8896,0.6786,0.9073,0.9066000000000001
0.802,0.765,0.783,0.893,0.5964769867684065,0.9144579565533729,0.9132610508757298,0.7803,0.8905000000000001,0.6866,0.9152000000000001,0.9136999999999998
0.796,0.82,0.807,0.891,0.5955965679132265,0.9008375555785337,0.9019890755436463,0.8049999999999999,0.8883000000000001,0.6851,0.8992000000000001,0.9004
0.823,0.75,0.785,0.892,0.591815488107632,0.904018321882157,0.9053745590371447,0.7763,0.8897999999999999,0.6849000000000001,0.9033999999999999,0.9040999999999999
0.834,0.757,0.793,0.892,0.5900438072481085,0.9005104698406085,0.9038260505958603,0.7942,0.8897,0.6849000000000001,0.899,0.9032
0.835,0.676,0.747,0.894,0.5898089171974522,0.9079139695134684,0.9064613463739466,0.7518,0.8922000000000001,0.6847,0.9079,0.9055
0.8,0.742,0.77,0.893,0.6305451518934666,0.9105860310190487,0.9104337875793198,0.7707999999999999,0.8905999999999998,0.7011,0.9105000000000001,0.9099000000000002
0.853,0.732,0.788,0.891,0.6287302755293925,0.9082879737085344,0.9106977700133593,0.7902000000000001,0.8885,0.6960999999999999,0.9084,0.9107
0.795,0.776,0.785,0.889,0.6335903452899765,0.9122879177377893,0.909406597896027,0.7849999999999999,0.8863999999999999,0.7061999999999999,0.9145000000000001,0.9095000000000001
0.852,0.806,0.828,0.887,0.6257378984651711,0.9113976705490849,0.9131973355537053,0.8302000000000002,0.8842000000000001,0.6989,0.9108999999999998,0.9124000000000001
0.729,0.798,0.762,0.883,0.6298157453936348,0.9131371141421392,0.9102287883451319,0.7643000000000001,0.8811,0.704,0.9141,0.9093
0.891,0.732,0.804,0.885,0.6338535414165667,0.9049700172781786,0.9061066367621572,0.8028000000000001,0.8825999999999998,0.7038,0.9046000000000001,0.906
0.775,0.745,0.759,0.882,0.6367989056087552,0.9091660638627672,0.910592607887673,0.7701,0.881,0.7074,0.9087,0.9096
