P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.074,0.0,0.882,0.0,0.137,0.0,0.2101,0.0,0.6,0.0,0.5954,0.0,0.137,0.0
0.079,0.0,0.82,0.0,0.144,0.0,0.23620000000000002,0.0,0.612,0.0,0.6071000000000001,0.0,0.144,0.0
0.164,0.0,0.792,0.0,0.272,0.0,0.413,0.0,0.602,0.0,0.5978999999999999,0.0,0.272,0.0
0.439,0.0,0.785,0.0,0.563,0.0,0.5981,0.0,0.609,0.0,0.6050000000000001,0.0,0.563,0.0
0.423,0.0,0.814,0.0,0.557,0.0,0.5965,0.0,0.608,0.0,0.6033000000000001,0.0,0.557,0.0
0.462,0.0,0.805,0.0,0.587,0.0,0.6412000000000001,0.0,0.618,0.0,0.6131,0.0,0.587,0.0
0.675,0.0,0.705,0.0,0.69,0.0,0.6744,0.0,0.616,0.0,0.6119,0.0,0.69,0.0
0.519,0.0,0.806,0.0,0.632,0.0,0.6578999999999999,0.0,0.631,0.0,0.6268,0.0,0.632,0.0
0.68,0.0,0.735,0.0,0.706,0.0,0.6873,0.0,0.626,0.0,0.6207999999999999,0.0,0.706,0.0
0.67,0.0,0.714,0.0,0.691,0.0,0.6696,0.0,0.636,0.0,0.6312,0.0,0.691,0.0
0.723,0.0,0.681,0.0,0.701,0.0,0.6727000000000001,0.0,0.635,0.0,0.6299,0.0,0.701,0.0
0.778,0.0,0.666,0.0,0.718,0.0,0.6815,0.0,0.653,0.0,0.6473,0.0,0.718,0.0
0.828,0.0,0.643,0.0,0.724,0.0,0.6743,0.0,0.653,0.0,0.6472,0.0,0.724,0.0
0.84,0.0,0.658,0.0,0.738,0.0,0.6916,0.0,0.673,0.0,0.6668,0.0,0.738,0.0
0.757,0.0,0.703,0.0,0.729,0.0,0.701,0.0,0.671,0.0,0.6651,0.0,0.729,0.0
0.76,0.0,0.667,0.0,0.711,0.0,0.6556,0.0,0.69,0.0,0.6835,0.0,0.711,0.0
0.737,0.0,0.723,0.0,0.73,0.0,0.7070000000000001,0.0,0.683,0.0,0.6778000000000001,0.0,0.73,0.0
0.732,0.0,0.776,0.0,0.753,0.0,0.7371,0.0,0.699,0.0,0.6929000000000001,0.0,0.753,0.0
0.743,0.0,0.739,0.0,0.741,0.0,0.7185,0.0,0.7,0.0,0.6948000000000001,0.0,0.741,0.0
0.738,0.0,0.773,0.0,0.755,0.0,0.7357000000000001,0.0,0.724,0.0,0.717,0.0,0.755,0.0
0.866,0.0,0.779,0.0,0.82,0.0,0.7983,0.0,0.721,0.0,0.7134999999999999,0.0,0.82,0.0
0.876,0.0,0.772,0.0,0.821,0.0,0.7807000000000001,0.0,0.742,0.0,0.7355,0.0,0.889,0.0
0.909,0.0,0.799,0.0,0.851,0.0,0.8137000000000001,0.0,0.743,0.0,0.7367000000000001,0.0,0.89,0.0
0.943,0.0,0.729,0.0,0.822,0.0,0.8010999999999999,0.0,0.756,0.0,0.7515999999999999,0.0,0.907,0.0
0.953,0.0,0.76,0.0,0.846,0.0,0.8253,0.0,0.754,0.0,0.7493,0.0,0.894,0.0
0.864,0.0,0.835,0.0,0.849,0.0,0.8423,0.0,0.771,0.0,0.7681000000000001,0.0,0.913,0.0
0.921,0.0,0.829,0.0,0.873,0.0,0.8621000000000001,0.0,0.764,0.0,0.7586999999999999,0.0,0.902,0.0
0.883,0.0,0.824,0.0,0.853,0.0,0.8436,0.0,0.772,0.0,0.7683,0.0,0.919,0.0
0.904,0.0,0.83,0.0,0.865,0.0,0.8526,0.0,0.767,0.0,0.7625000000000001,0.0,0.906,0.0
0.848,0.0,0.83,0.0,0.839,0.0,0.825,0.0,0.771,0.0,0.7679,0.0,0.914,0.0
0.89,0.0,0.793,0.0,0.839,0.0,0.8230000000000001,0.0,0.771,0.0,0.768,0.0,0.892,0.0
0.872,0.0,0.812,0.0,0.841,0.0,0.8211999999999999,0.0,0.781,0.0,0.7789,0.0,0.89,0.0
0.854,0.0,0.841,0.0,0.847,0.0,0.8295999999999999,0.0,0.777,0.0,0.7731,0.0,0.895,0.0
0.873,0.0,0.83,0.0,0.851,0.0,0.8341,0.0,0.786,0.0,0.7833,0.0,0.893,0.0
0.878,0.0,0.839,0.0,0.858,0.0,0.8428000000000001,0.0,0.784,0.0,0.7803,0.0,0.896,0.0
0.876,0.0,0.844,0.0,0.86,0.0,0.8533,0.0,0.795,0.0,0.7915,0.0,0.897,0.0
0.864,0.0,0.833,0.0,0.848,0.0,0.8383,0.0,0.796,0.0,0.7926,0.0,0.897,0.0
0.856,0.0,0.839,0.0,0.847,0.0,0.8277000000000001,0.0,0.8,0.0,0.7966,0.0,0.894,0.0
0.85,0.0,0.845,0.0,0.848,0.0,0.8321999999999999,0.0,0.799,0.0,0.7950999999999999,0.0,0.897,0.0
0.862,0.0,0.829,0.0,0.845,0.0,0.8263,0.0,0.808,0.0,0.8038000000000001,0.0,0.893,0.0
0.848,0.0,0.855,0.0,0.852,0.0,0.8388,0.0,0.808,0.0,0.8035,0.0,0.891,0.0
0.857,0.0,0.868,0.0,0.863,0.0,0.8493999999999999,0.0,0.817,0.0,0.8121,0.0,0.892,0.0
0.857,0.0,0.824,0.0,0.84,0.0,0.7986,0.0,0.817,0.0,0.8125,0.0,0.893,0.0
0.868,0.0,0.823,0.0,0.845,0.0,0.8076000000000001,0.0,0.828,0.0,0.8229,0.0,0.888,0.0
