P_model,R_model,F1_model_micro,F1_model_macro,F1_model_micro_boot,F1_model_micro_boost_graph,F1_model_macro_boot,F1_pairwise_model,Query,Query_Label,Strategy,Labeled_Set_Size
0.074,0.882,0.137,0.2101,0.6,0.137,0.5954,"{'2_1': 0.217, '2_4': 0.138, '2_5': 0.065, '2_3': 0.163, '3_1': 0.416, '4_1': 0.535, '4_5': 0.114, '5_1': 0.156, '5_3': 0.067, '4_3': 0.23}",3_8989-1_17838,False,disagreement,21
0.079,0.82,0.144,0.23620000000000002,0.612,0.144,0.6071000000000001,"{'2_1': 0.163, '2_4': 0.174, '2_5': 0.066, '2_3': 0.196, '3_1': 0.549, '4_1': 0.586, '4_5': 0.128, '5_1': 0.132, '5_3': 0.077, '4_3': 0.291}",3_18137-1_340,False,disagreement,22
0.164,0.792,0.272,0.413,0.602,0.272,0.5978999999999999,"{'2_1': 0.451, '2_4': 0.563, '2_5': 0.085, '2_3': 0.381, '3_1': 0.647, '4_1': 0.614, '4_5': 0.314, '5_1': 0.178, '5_3': 0.274, '4_3': 0.623}",2_301-3_6118,False,disagreement,23
0.439,0.785,0.563,0.5981,0.609,0.563,0.6050000000000001,"{'2_1': 0.861, '2_4': 0.636, '2_5': 0.315, '2_3': 0.39, '3_1': 0.7, '4_1': 0.602, '4_5': 0.698, '5_1': 0.776, '5_3': 0.364, '4_3': 0.639}",5_17841-1_6511,False,disagreement,24
0.423,0.814,0.557,0.5965,0.608,0.557,0.6033000000000001,"{'2_1': 0.82, '2_4': 0.683, '2_5': 0.287, '2_3': 0.505, '3_1': 0.588, '4_1': 0.667, '4_5': 0.64, '5_1': 0.765, '5_3': 0.36, '4_3': 0.65}",4_8558-1_17693,True,disagreement,25
0.462,0.805,0.587,0.6412000000000001,0.618,0.587,0.6131,"{'2_1': 0.715, '2_4': 0.877, '2_5': 0.289, '2_3': 0.526, '3_1': 0.703, '4_1': 0.648, '4_5': 0.737, '5_1': 0.77, '5_3': 0.375, '4_3': 0.772}",2_5687-4_11306,False,disagreement,26
0.675,0.705,0.69,0.6744,0.616,0.69,0.6119,"{'2_1': 0.893, '2_4': 0.743, '2_5': 0.796, '2_3': 0.247, '3_1': 0.718, '4_1': 0.672, '4_5': 0.761, '5_1': 0.773, '5_3': 0.512, '4_3': 0.629}",5_13902-3_3642,False,disagreement,27
0.519,0.806,0.632,0.6578999999999999,0.631,0.632,0.6268,"{'2_1': 0.717, '2_4': 0.9, '2_5': 0.32, '2_3': 0.528, '3_1': 0.719, '4_1': 0.692, '4_5': 0.78, '5_1': 0.691, '5_3': 0.533, '4_3': 0.699}",2_2042-1_3197,True,disagreement,28
0.68,0.735,0.706,0.6873,0.626,0.706,0.6207999999999999,"{'2_1': 0.86, '2_4': 0.789, '2_5': 0.753, '2_3': 0.309, '3_1': 0.789, '4_1': 0.702, '4_5': 0.762, '5_1': 0.75, '5_3': 0.473, '4_3': 0.686}",4_19292-5_6065,False,disagreement,29
0.67,0.714,0.691,0.6696,0.636,0.691,0.6312,"{'2_1': 0.826, '2_4': 0.718, '2_5': 0.756, '2_3': 0.274, '3_1': 0.778, '4_1': 0.701, '4_5': 0.762, '5_1': 0.754, '5_3': 0.492, '4_3': 0.635}",4_7404-3_15762,False,disagreement,30
0.723,0.681,0.701,0.6727000000000001,0.635,0.701,0.6299,"{'2_1': 0.805, '2_4': 0.69, '2_5': 0.75, '2_3': 0.28, '3_1': 0.824, '4_1': 0.743, '4_5': 0.778, '5_1': 0.747, '5_3': 0.41, '4_3': 0.7}",5_18131-3_831,False,disagreement,31
0.778,0.666,0.718,0.6815,0.653,0.718,0.6473,"{'2_1': 0.802, '2_4': 0.759, '2_5': 0.697, '2_3': 0.387, '3_1': 0.93, '4_1': 0.904, '4_5': 0.8, '5_1': 0.766, '5_3': 0.076, '4_3': 0.694}",2_11538-4_6787,False,disagreement,32
0.828,0.643,0.724,0.6743,0.653,0.724,0.6472,"{'2_1': 0.886, '2_4': 0.775, '2_5': 0.808, '2_3': 0.237, '3_1': 0.863, '4_1': 0.821, '4_5': 0.803, '5_1': 0.825, '5_3': 0.076, '4_3': 0.649}",2_17058-1_14781,False,disagreement,33
0.84,0.658,0.738,0.6916,0.673,0.738,0.6668,"{'2_1': 0.908, '2_4': 0.728, '2_5': 0.813, '2_3': 0.428, '3_1': 0.857, '4_1': 0.793, '4_5': 0.797, '5_1': 0.848, '5_3': 0.072, '4_3': 0.672}",2_6765-1_3346,False,disagreement,34
0.757,0.703,0.729,0.701,0.671,0.729,0.6651,"{'2_1': 0.939, '2_4': 0.813, '2_5': 0.848, '2_3': 0.242, '3_1': 0.815, '4_1': 0.706, '4_5': 0.806, '5_1': 0.796, '5_3': 0.404, '4_3': 0.641}",4_17549-5_501,True,disagreement,35
0.76,0.667,0.711,0.6556,0.69,0.711,0.6835,"{'2_1': 0.912, '2_4': 0.805, '2_5': 0.846, '2_3': 0.105, '3_1': 0.812, '4_1': 0.708, '4_5': 0.819, '5_1': 0.796, '5_3': 0.104, '4_3': 0.649}",2_17216-5_13637,False,disagreement,36
0.737,0.723,0.73,0.7070000000000001,0.683,0.73,0.6778000000000001,"{'2_1': 0.92, '2_4': 0.9, '2_5': 0.85, '2_3': 0.26, '3_1': 0.801, '4_1': 0.706, '4_5': 0.77, '5_1': 0.792, '5_3': 0.421, '4_3': 0.65}",2_16264-4_7147,True,disagreement,37
0.732,0.776,0.753,0.7371,0.699,0.753,0.6929000000000001,"{'2_1': 0.893, '2_4': 0.906, '2_5': 0.88, '2_3': 0.491, '3_1': 0.771, '4_1': 0.702, '4_5': 0.783, '5_1': 0.797, '5_3': 0.43, '4_3': 0.718}",4_3420-3_3763,True,disagreement,38
0.743,0.739,0.741,0.7185,0.7,0.741,0.6948000000000001,"{'2_1': 0.919, '2_4': 0.902, '2_5': 0.843, '2_3': 0.27, '3_1': 0.796, '4_1': 0.712, '4_5': 0.787, '5_1': 0.799, '5_3': 0.444, '4_3': 0.713}",3_18483-1_7534,False,disagreement,39
0.738,0.773,0.755,0.7357000000000001,0.724,0.755,0.717,"{'2_1': 0.94, '2_4': 0.918, '2_5': 0.893, '2_3': 0.218, '3_1': 0.761, '4_1': 0.706, '4_5': 0.787, '5_1': 0.798, '5_3': 0.572, '4_3': 0.764}",4_18386-3_2233,True,disagreement,40
0.866,0.779,0.82,0.7983,0.721,0.82,0.7134999999999999,"{'2_1': 0.915, '2_4': 0.91, '2_5': 0.874, '2_3': 0.43, '3_1': 0.856, '4_1': 0.851, '4_5': 0.925, '5_1': 0.908, '5_3': 0.498, '4_3': 0.816}",4_13963-5_16120,False,disagreement,41
0.876,0.772,0.821,0.7807000000000001,0.742,0.889,0.7355,"{'2_1': 0.903, '2_4': 0.911, '2_5': 0.866, '2_3': 0.563, '3_1': 0.874, '4_1': 0.858, '4_5': 0.921, '5_1': 0.918, '5_3': 0.155, '4_3': 0.838}",3_9122-1_13575,False,disagreement_post_graph,42
0.909,0.799,0.851,0.8137000000000001,0.743,0.89,0.7367000000000001,"{'2_1': 0.946, '2_4': 0.842, '2_5': 0.871, '2_3': 0.756, '3_1': 0.939, '4_1': 0.917, '4_5': 0.91, '5_1': 0.917, '5_3': 0.151, '4_3': 0.888}",4_15114-3_1363,False,disagreement_post_graph,43
0.943,0.729,0.822,0.8010999999999999,0.756,0.907,0.7515999999999999,"{'2_1': 0.94, '2_4': 0.91, '2_5': 0.87, '2_3': 0.365, '3_1': 0.95, '4_1': 0.925, '4_5': 0.914, '5_1': 0.932, '5_3': 0.462, '4_3': 0.743}",2_5899-4_13574,False,disagreement_post_graph,44
0.953,0.76,0.846,0.8253,0.754,0.894,0.7493,"{'2_1': 0.95, '2_4': 0.911, '2_5': 0.876, '2_3': 0.417, '3_1': 0.939, '4_1': 0.934, '4_5': 0.917, '5_1': 0.888, '5_3': 0.5, '4_3': 0.921}",4_7240-3_5723,True,disagreement_post_graph,45
0.864,0.835,0.849,0.8423,0.771,0.913,0.7681000000000001,"{'2_1': 0.945, '2_4': 0.863, '2_5': 0.888, '2_3': 0.721, '3_1': 0.946, '4_1': 0.912, '4_5': 0.901, '5_1': 0.892, '5_3': 0.502, '4_3': 0.853}",2_1851-3_15868,True,disagreement_post_graph,46
0.921,0.829,0.873,0.8621000000000001,0.764,0.902,0.7586999999999999,"{'2_1': 0.94, '2_4': 0.913, '2_5': 0.89, '2_3': 0.756, '3_1': 0.916, '4_1': 0.926, '4_5': 0.93, '5_1': 0.91, '5_3': 0.516, '4_3': 0.924}",4_4020-3_4902,False,disagreement_post_graph,47
0.883,0.824,0.853,0.8436,0.772,0.919,0.7683,"{'2_1': 0.914, '2_4': 0.909, '2_5': 0.865, '2_3': 0.718, '3_1': 0.894, '4_1': 0.923, '4_5': 0.909, '5_1': 0.891, '5_3': 0.5, '4_3': 0.913}",2_1391-1_11761,True,disagreement_post_graph,48
0.904,0.83,0.865,0.8526,0.767,0.906,0.7625000000000001,"{'2_1': 0.914, '2_4': 0.909, '2_5': 0.837, '2_3': 0.765, '3_1': 0.954, '4_1': 0.922, '4_5': 0.912, '5_1': 0.894, '5_3': 0.493, '4_3': 0.926}",5_10961-1_2939,False,disagreement_post_graph,49
0.848,0.83,0.839,0.825,0.771,0.914,0.7679,"{'2_1': 0.899, '2_4': 0.878, '2_5': 0.784, '2_3': 0.713, '3_1': 0.911, '4_1': 0.879, '4_5': 0.899, '5_1': 0.887, '5_3': 0.474, '4_3': 0.926}",4_13525-1_2691,True,disagreement_post_graph,50
0.89,0.793,0.839,0.8230000000000001,0.771,0.892,0.768,"{'2_1': 0.882, '2_4': 0.885, '2_5': 0.809, '2_3': 0.767, '3_1': 0.852, '4_1': 0.885, '4_5': 0.898, '5_1': 0.854, '5_3': 0.49, '4_3': 0.908}",3_13671-1_7267,False,disagreement_post_graph,51
0.872,0.812,0.841,0.8211999999999999,0.781,0.89,0.7789,"{'2_1': 0.882, '2_4': 0.885, '2_5': 0.781, '2_3': 0.782, '3_1': 0.775, '4_1': 0.881, '4_5': 0.911, '5_1': 0.894, '5_3': 0.506, '4_3': 0.915}",5_10122-1_7192,True,disagreement_post_graph,52
0.854,0.841,0.847,0.8295999999999999,0.777,0.895,0.7731,"{'2_1': 0.881, '2_4': 0.882, '2_5': 0.83, '2_3': 0.744, '3_1': 0.852, '4_1': 0.876, '4_5': 0.926, '5_1': 0.91, '5_3': 0.48, '4_3': 0.915}",2_17743-5_19254,True,disagreement_post_graph,53
0.873,0.83,0.851,0.8341,0.786,0.893,0.7833,"{'2_1': 0.89, '2_4': 0.884, '2_5': 0.839, '2_3': 0.776, '3_1': 0.863, '4_1': 0.883, '4_5': 0.898, '5_1': 0.898, '5_3': 0.496, '4_3': 0.914}",2_3818-5_7206,False,disagreement_post_graph,54
0.878,0.839,0.858,0.8428000000000001,0.784,0.896,0.7803,"{'2_1': 0.889, '2_4': 0.883, '2_5': 0.851, '2_3': 0.779, '3_1': 0.888, '4_1': 0.874, '4_5': 0.926, '5_1': 0.901, '5_3': 0.525, '4_3': 0.912}",4_3284-5_10942,True,disagreement_post_graph,55
0.876,0.844,0.86,0.8533,0.795,0.897,0.7915,"{'2_1': 0.884, '2_4': 0.875, '2_5': 0.849, '2_3': 0.766, '3_1': 0.888, '4_1': 0.868, '4_5': 0.923, '5_1': 0.873, '5_3': 0.699, '4_3': 0.908}",3_10218-1_9124,False,disagreement_post_graph,56
0.864,0.833,0.848,0.8383,0.796,0.897,0.7926,"{'2_1': 0.889, '2_4': 0.87, '2_5': 0.842, '2_3': 0.71, '3_1': 0.901, '4_1': 0.866, '4_5': 0.875, '5_1': 0.918, '5_3': 0.611, '4_3': 0.901}",5_14937-1_15008,True,disagreement_post_graph,57
