id,cluster_id,source,number,title,length,artist,album,year,language
16,5371,1,011,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",04:04,Max Bruch,"The Classical Album, Volume 1",,
20,14,1,021,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),,
22,2151,1,008,Outro (Working Title),01:26,FeSo,Working Title,,
23,15,1,003,10cm,03:45,Anemone,10cm,,
28,17,1,010,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",,
34,19,1,016,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
38,22,1,002,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,,
40,23,1,013,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,,
47,5969,1,043,Style Talks (g) (link) (Swing of the City),00:09,Keith Mansfield,Swing of the City,,
49,27,1,011,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,,
50,7345,1,001,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
52,2783,1,003,Bring Back the Love (Spaced Out dub),00:00,Laura Harris,Bring Back the Love,,
62,6563,1,001,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,,
67,7586,1,007,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",06:43,Skatebård,"Remix You, Remix Me",,
70,3371,1,005,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,,
76,39,1,008,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,,
82,5576,1,006,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",02:40,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",,
90,4384,1,013,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),00:50,Jimmy Buffett,Don't Stop the Carnival,,
92,65,1,011,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,,
100,905,1,002,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,,
104,7769,1,003,War (Art of War),03:57,AG & Party Arty,Art of War War,,
112,3341,1,010,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),03:35,FallOutBoy,Now That's What I Call Music 26,,
116,2978,1,009,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",04:25,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,
123,62,1,004,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,,
128,7847,1,010,Basin Street Blues (The Quintessence: New York – Chicago 1925-1940),03:19,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,,
129,458,1,001,Semblance (Portrait in Sound),03:21,Klaus Suonsaari,Portrait in Sound,,
132,2744,1,003,Evolution Fight (Creating Your New Environment),03:19,CYNE,Creating Your New Environment,,
135,5594,1,012,A csend (A hold szerelme),02:56,Tátrai Band,A hold szerelme,,
146,73,1,008,Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,,
148,333,1,007,Confession (Always Around),04:11,Jack Radics,Always Around,,
155,76,1,9,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,,
162,9,1,002,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,,
163,81,1,006,You (Russian Doll),04:59,Violet Indiana,Russian Doll,,
170,84,1,006,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,,
